FPR,TPR
0.0,0.0
0.0,0.022727272727272728
0.0,0.38636363636363635
0.022727272727272728,0.38636363636363635
0.022727272727272728,0.8181818181818182
0.06818181818181818,0.8181818181818182
0.06818181818181818,0.8409090909090909
0.11363636363636363,0.8409090909090909
0.11363636363636363,0.9090909090909091
0.2727272727272727,0.9090909090909091
0.2727272727272727,0.9318181818181818
0.29545454545454547,0.9318181818181818
0.29545454545454547,0.9545454545454546
0.3181818181818182,0.9545454545454546
0.3181818181818182,0.9772727272727273
0.38636363636363635,0.9772727272727273
0.38636363636363635,1.0
1.0,1.0
