FPR,TPR
0.0,0.0
0.0,0.022727272727272728
0.0,0.5227272727272727
0.022727272727272728,0.5227272727272727
0.022727272727272728,0.75
0.045454545454545456,0.75
0.045454545454545456,0.8636363636363636
0.06818181818181818,0.8636363636363636
0.06818181818181818,0.9090909090909091
0.09090909090909091,0.9090909090909091
0.09090909090909091,0.9318181818181818
0.11363636363636363,0.9318181818181818
0.11363636363636363,0.9545454545454546
0.1590909090909091,0.9545454545454546
0.1590909090909091,0.9772727272727273
0.20454545454545456,0.9772727272727273
0.20454545454545456,1.0
1.0,1.0
