C,Precision,Recall,Specificity,F1,Accuracy,MCC,roc_auc,pr_auc
10,0.972972972972973,0.8181818181818182,0.9772727272727273,0.8888888888888891,0.8977272727272727,0.8057161971532291,0.9519628099173554,0.9514167944443965
100,0.9285714285714286,0.8863636363636364,0.9318181818181818,0.9069767441860465,0.9090909090909091,0.8190283593479222,0.9550619834710743,0.9589883591797603
1,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.7272727272727273,0.9375,0.9341368805046985
