Recall,Precision
1.0,0.5
1.0,0.5000757231561411
1.0,0.5001514692517419
1.0,0.5002272382972277
1.0,0.5003030303030302
1.0,0.5003788452795879
1.0,0.5004546832373447
1.0,0.5005305441867516
1.0,0.5006064281382656
1.0,0.5006823351023503
1.0,0.5007582650894753
1.0,0.5008342181101167
1.0,0.5009101941747572
1.0,0.5009861932938856
1.0,0.501062215477997
1.0,0.5011382607375929
1.0,0.5012143290831815
1.0,0.5012904205252771
1.0,0.5013665350744002
1.0,0.5014426727410782
1.0,0.5015188335358445
1.0,0.501595017469239
1.0,0.501671224551808
1.0,0.5017474547941042
1.0,0.501823708206687
1.0,0.5018999848001215
1.0,0.5019762845849802
1.0,0.5020526075718412
1.0,0.5021289537712895
1.0,0.5022053231939163
1.0,0.5022817158503194
1.0,0.502358131751103
1.0,0.5024345709068777
1.0,0.5025110333282605
1.0,0.5025875190258752
1.0,0.5026640280103517
1.0,0.5027405602923264
1.0,0.5028171158824425
1.0,0.5028936947913494
1.0,0.502970297029703
1.0,0.5030469226081657
1.0,0.5031235715374067
1.0,0.5032002438281011
1.0,0.5032769394909312
1.0,0.5033536585365853
1.0,0.5034304009757585
1.0,0.5035071668191522
1.0,0.5035839560774744
1.0,0.50366076876144
1.0,0.5037376048817697
1.0,0.5038144644491913
1.0,0.5038913474744392
1.0,0.503968253968254
1.0,0.504045183941383
1.0,0.5041221374045801
1.0,0.5041991143686059
1.0,0.5042761148442273
1.0,0.5043531388422178
1.0,0.5044301863733578
1.0,0.5045072574484339
1.0,0.5045843520782396
1.0,0.5046614702735748
1.0,0.5047386120452461
1.0,0.5048157774040667
1.0,0.5048929663608562
1.0,0.5049701789264414
1.0,0.505047415111655
1.0,0.5051246749273367
1.0,0.5052019583843329
1.0,0.5052792654934966
1.0,0.5053565962656872
1.0,0.505433950711771
1.0,0.505511328842621
1.0,0.5055887306691165
1.0,0.505666156202144
1.0,0.5057436054525961
1.0,0.5058210784313726
1.0,0.5058985751493795
1.0,0.5059760956175299
1.0,0.5060536398467433
1.0,0.5061312078479461
1.0,0.5062087996320711
1.0,0.5062864152100582
1.0,0.5063640545928538
1.0,0.506441717791411
1.0,0.5065194048166897
1.0,0.5065971156796564
1.0,0.5066748503912843
1.0,0.5067526089625537
1.0,0.5068303914044513
1.0,0.5069081977279706
1.0,0.5069860279441117
1.0,0.5070638820638821
1.0,0.5071417600982951
1.0,0.5072196620583718
1.0,0.507297587955139
1.0,0.5073755377996312
1.0,0.5074535116028892
1.0,0.5075315093759607
1.0,0.5076095311299
1.0,0.5076875768757687
1.0,0.5077656466246347
1.0,0.5078437403875731
1.0,0.5079218581756653
1.0,0.508
1.0,0.5080781658716725
1.0,0.5081563558017852
1.0,0.5082345698014468
1.0,0.5083128078817734
1.0,0.5083910700538876
1.0,0.508469356328919
1.0,0.508547666718004
1.0,0.5086260012322859
1.0,0.5087043598829148
1.0,0.5087827426810477
1.0,0.5088611496378487
1.0,0.5089395807644883
1.0,0.5090180360721442
1.0,0.5090965155720012
1.0,0.5091750192752506
1.0,0.5092535471930907
1.0,0.5093320993367269
1.0,0.5094106757173712
1.0,0.5094892763462429
1.0,0.5095679012345679
1.0,0.5096465503935792
1.0,0.5097252238345168
1.0,0.5098039215686274
1.0,0.509882643607165
0.9996971532404604,0.5098069498069498
0.9996971532404604,0.5098856966326846
0.9996971532404604,0.5099644677892785
0.9996971532404604,0.5100432632880099
0.9996971532404604,0.5101220831401638
0.9996971532404604,0.5102009273570325
0.9996971532404604,0.510279795949915
0.9996971532404604,0.5103586889301175
0.9996971532404604,0.5104376063089532
0.9996971532404604,0.510516548097742
0.9996971532404604,0.5105955143078112
0.9996971532404604,0.510674504950495
0.9996971532404604,0.5107535200371345
0.9996971532404604,0.5108325595790777
0.9996971532404604,0.5109116235876799
0.9996971532404604,0.5109907120743034
0.9996971532404604,0.5110698250503174
0.9996971532404604,0.5111489625270982
0.9996971532404604,0.5112281245160292
0.9996971532404604,0.5113073110285006
0.9996971532404604,0.5113865220759102
0.9996971532404604,0.5114657576696622
0.9996971532404604,0.5115450178211685
0.9996971532404604,0.5116243025418475
0.9996971532404604,0.5117036118431251
0.9996971532404604,0.5117829457364341
0.9996971532404604,0.5118623042332144
0.9996971532404604,0.5119416873449132
0.9996971532404604,0.5120210950829843
0.9996971532404604,0.5121005274588892
0.9996971532404604,0.5121799844840962
0.9996971532404604,0.5122594661700807
0.9996971532404604,0.5123389725283253
0.9996971532404604,0.5124185035703198
0.9996971532404604,0.512498059307561
0.9996971532404604,0.5125776397515528
0.9996971532404604,0.5126572449138065
0.9996971532404604,0.5127368748058403
0.9996971532404604,0.5128165294391798
0.9996971532404604,0.5128962088253574
0.9996971532404604,0.5129759129759129
0.9996971532404604,0.5130556419023935
0.9996971532404604,0.5131353956163531
0.9996971532404604,0.5132151741293532
0.9996971532404604,0.5132949774529623
0.9996971532404604,0.5133748055987558
0.9996971532404604,0.513454658578317
0.9993943064809206,0.5133789670192906
0.9993943064809206,0.5134588454955655
0.9993943064809206,0.5135387488328664
0.9993943064809206,0.5136186770428015
0.9993943064809206,0.5136986301369864
0.9993943064809206,0.5137786081270435
0.9993943064809206,0.513858611024603
0.9993943064809206,0.513938638841302
0.9993943064809206,0.514018691588785
0.9993943064809206,0.5140987692787038
0.9993943064809206,0.5141788719227174
0.9993943064809206,0.5142589995324918
0.9993943064809206,0.5143391521197007
0.9993943064809206,0.514419329696025
0.9993943064809206,0.5144995322731525
0.9993943064809206,0.5145797598627787
0.9993943064809206,0.5146600124766063
0.9993943064809206,0.5147402901263454
0.9993943064809206,0.514820592823713
0.9993943064809206,0.5149009205804338
0.9993943064809206,0.5149812734082397
0.9993943064809206,0.5150616513188699
0.9993943064809206,0.5151420543240712
0.9993943064809206,0.5152224824355972
0.9993943064809206,0.5153029356652092
0.9993943064809206,0.5153834140246759
0.9993943064809206,0.5154639175257731
0.9993943064809206,0.5155444461802843
0.9993943064809206,0.515625
0.9993943064809206,0.5157055789967182
0.9993943064809206,0.5157861831822445
0.9993943064809206,0.5158668125683914
0.9993943064809206,0.5159474671669794
0.9993943064809206,0.5160281469898358
0.9993943064809206,0.5161088520487958
0.9993943064809206,0.5161895823557016
