gene_name,gene_id,identifier,protein,uniprot_id
A130040M12Rik,-,A130040M12Rik,Sfpq,P23246
AF030089,-,AF030089,Sin3A,Q96ST3
AF050659,-,AF050659,Sin3A,Q96ST3
AF267752,-,AF267752,coREST,Q8VIG1
AF322224,-,AF322224,coREST,Q8VIG1
AF435963,-,AF435963,coREST,Q8VIG1
AF545831,-,AF545831,Sin3A,Q96ST3
AJ437403,-,AJ437403,coREST,Q8VIG1
AK081227,-,AK081227,MeCP2,P51608
AK087060?,-,AK087060?,MeCP2,P51608
Alu-RARNA,-,Alu-RARNA,PolII,-
AY007691,-,AY007691,coREST,Q8VIG1
AY383714,-,AY383714,Sin3A,Q96ST3
B1 RNA,-,B1 RNA,PolII,-
B2 RNA,NONMMUNOBEDT076234,NONMMUNOBEDT076234,PolII,-
B2 RNA,NONMMUNOBEDT076234,NONMMUNOBEDT076234,RPB2,B2WTN8
B2 RNA,NONMMUNOBEDT076234,NONMMUNOBEDT076234,RPB1,P08775
BC063168,-,BC063168,coREST,Q8VIG1
BC063168,-,BC063168,Sin3A,Q96ST3
BC064030,-,BC064030,Sin3A,Q96ST3
BC085903,-,BC085903,Sin3A,Q96ST3
BC088258,-,BC088258,Sin3A,Q96ST3
BC088349,-,BC088349,Sin3A,Q96ST3
BC090353,-,BC090353,Sin3A,Q96ST3
BC094214,-,BC094214,Sin3A,Q96ST3
BC094214,-,BC094214,coREST,Q8VIG1
BC097997,-,BC097997,coREST,Q8VIG1
BC099096,-,BC099096,coREST,Q8VIG1
BC099234,-,BC099234,coREST,Q8VIG1
BC1,NONMMUT062758,NONMMUT062758,PABP,-
BC1,NONMMUT062758,NONMMUT062758,p190RhoGEF,P97433
BC1,NONMMUT062758,NONMMUT062758,FMRP,Q7Z417
BC100074,-,BC100074,Sin3A,Q96ST3
BC111077,-,BC111077,coREST,Q8VIG1
BC158613,-,BC158613,coREST,Q8VIG1
BC158671,-,BC158671,Sin3A,Q96ST3
BC158671,-,BC158671,coREST,Q8VIG1
BC158675,-,BC158675,Sin3A,Q96ST3
BC158675,-,BC158675,coREST,Q8VIG1
BC158811,-,BC158811,Sin3A,Q96ST3
BC161977,-,BC161977,coREST,Q8VIG1
BC161988,-,BC161988,Sin3A,Q96ST3
BC166474,-,BC166474,Sin3A,Q96ST3
BC166798,-,BC166798,Sin3A,Q96ST3
BC166932,-,BC166932,Sin3A,Q96ST3
BC166935,-,BC166935,Sin3A,Q96ST3
BC167004,-,BC167004,Sin3A,Q96ST3
BC168162,-,BC168162,coREST,Q8VIG1
BC168954,-,BC168954,Sin3A,Q96ST3
BC169038,-,BC169038,Sin3A,Q96ST3
BC169100,-,BC169100,coREST,Q8VIG1
DQ266361,-,DQ266361,Sin3A,Q96ST3
DQ359102,-,DQ359102,Sin3A,Q96ST3
DQ832324,-,DQ832324,coREST,Q8VIG1
EF094477,-,EF094477,Sin3A,Q96ST3
EF613276,-,EF613276,coREST,Q8VIG1
EF688596,-,EF688596,coREST,Q8VIG1
Fendrr,NONMMUG041781,NONMMUG041781,WDR5,P61964
Fendrr,NONMMUG041781,NONMMUG041781,Ezh2,Q15910
Fendrr,NONMMUG041781,NONMMUG041781,SUZ12,Q15022
Gomafu,NONMMUT069262,NONMMUT069262,SF1,A0A024R5D9
H19,NONMMUG039673,NONMMUG039673,MBD1,Q9Z2E2
H19,NONMMUG039673,NONMMUG039673,MeCP2,P51608
HOTAIR,NONMMUG017647,NONMMUG017647,PRC2,-
Kcnq1ot1,NONMMUG039685,NONMMUG039685,CTCF,NM_001191022
Kcnq1ot1,NONMMUG039685,NONMMUG039685,Dnmt1,P26358
Kcnq1ot1,NONMMUG039685,NONMMUG039685,Ezh2,Q15910
Kcnq1ot1,NONMMUG039685,NONMMUG039685,PRC2,-
Kcnq1ot1,NONMMUG039685,NONMMUG039685,PRC1,G3UXT4
Kcnq1ot1,NONMMUG039685,NONMMUG039685,G9a,Q9Z148
L22653,-,L22653,coREST,Q8VIG1
linc1239,NONMMUG002214,NONMMUG002214,CBX3,Q13185
Gm11974,NONMMUG005256,NONMMUG005256,SUV39H1,A2AC19
Gm11974,NONMMUG005256,NONMMUG005256,SETD8,Q9NQR1
Gm11974,NONMMUG005256,NONMMUG005256,CBX1,P83916
Gm11974,NONMMUG005256,NONMMUG005256,PRC2,-
Gm11974,NONMMUG005256,NONMMUG005256,JARID1B,Q8VCQ4
Gm11974,NONMMUG005256,NONMMUG005256,RING1B,Q9CQJ4
Gm16516,NONMMUG006319,NONMMUG006319,CBX3,Q13185
Gm16516,NONMMUG006319,NONMMUG006319,ESET,O88974
Gm16516,NONMMUG006319,NONMMUG006319,CBX1,P83916
Gm16516,NONMMUG006319,NONMMUG006319,PRC2,-
Gm16516,NONMMUG006319,NONMMUG006319,JARID1B,Q8VCQ4
Gm16516,NONMMUG006319,NONMMUG006319,RING1B,Q9CQJ4
3110056K07Rik,NONMMUG009216,NONMMUG009216,ESET,O88974
3110056K07Rik,NONMMUG009216,NONMMUG009216,PRC2,-
3110056K07Rik,NONMMUG009216,NONMMUG009216,JARID1B,Q8VCQ4
3110056K07Rik,NONMMUG009216,NONMMUG009216,RING1B,Q9CQJ4
Gm2373,NONMMUG011683,NONMMUG011683,HDAC1,O09106
Gm2373,NONMMUG011683,NONMMUG011683,SUV39H1,A2AC19
Gm2373,NONMMUG011683,NONMMUG011683,JARID1C,Q8CGG4
Gm2373,NONMMUG011683,NONMMUG011683,CBX1,P83916
Gm2373,NONMMUG011683,NONMMUG011683,PRC2,-
linc1287,NONMMUG012356,NONMMUG012356,ESET,O88974
linc1287,NONMMUG012356,NONMMUG012356,CBX1,P83916
linc1287,NONMMUG012356,NONMMUG012356,Tip60,Q8CHK4
linc1288,NONMMUG013483,NONMMUG013483,CBX3,Q13185
linc1288,NONMMUG013483,NONMMUG013483,SUV39H1,A2AC19
linc1288,NONMMUG013483,NONMMUG013483,ESET,O88974
linc1288,NONMMUG013483,NONMMUG013483,SETD8,Q9NQR1
linc1288,NONMMUG013483,NONMMUG013483,CBX1,P83916
linc1289,NONMMUG013966,NONMMUG013966,SUV39H1,A2AC19
linc1289,NONMMUG013966,NONMMUG013966,ESET,O88974
linc1289,NONMMUG013966,NONMMUG013966,CBX1,P83916
linc1289,NONMMUG013966,NONMMUG013966,PRC2,-
linc1289,NONMMUG013966,NONMMUG013966,JARID1B,Q8VCQ4
linc1289,NONMMUG013966,NONMMUG013966,RING1B,Q9CQJ4
1700001L05Rik,NONMMUG015092,NONMMUG015092,SUV39H1,A2AC19
1700001L05Rik,NONMMUG015092,NONMMUG015092,ESET,O88974
1700001L05Rik,NONMMUG015092,NONMMUG015092,JARID1C,Q8CGG4
1700001L05Rik,NONMMUG015092,NONMMUG015092,SETD8,Q9NQR1
1700001L05Rik,NONMMUG015092,NONMMUG015092,CBX1,P83916
linc1294,NONMMUG015351,NONMMUG015351,SUV39H1,A2AC19
linc1317,NONMMUG020673,NONMMUG020673,SUV39H1,A2AC19
linc1317,NONMMUG020673,NONMMUG020673,ESET,O88974
linc1317,NONMMUG020673,NONMMUG020673,PRC2,-
linc1317,NONMMUG020673,NONMMUG020673,JARID1B,Q8VCQ4
linc1317,NONMMUG020673,NONMMUG020673,RING1B,Q9CQJ4
AC104908.1,NONMMUG026480,NONMMUG026480,SUV39H1,A2AC19
AC104908.1,NONMMUG026480,NONMMUG026480,CBX1,P83916
AC104908.1,NONMMUG026480,NONMMUG026480,PRC2,-
AC104908.1,NONMMUG026480,NONMMUG026480,JARID1B,Q8VCQ4
AC104908.1,NONMMUG026480,NONMMUG026480,RING1B,Q9CQJ4
linc1335,NONMMUG027202,NONMMUG027202,SUV39H1,A2AC19
linc1335,NONMMUG027202,NONMMUG027202,YY1,H0YJU4
linc1335,NONMMUG027202,NONMMUG027202,JARID1B,Q8VCQ4
linc1343,NONMMUG030867,NONMMUG030867,SUV39H1,A2AC19
linc1343,NONMMUG030867,NONMMUG030867,CBX1,P83916
linc1343,NONMMUG030867,NONMMUG030867,PRC2,-
linc1343,NONMMUG030867,NONMMUG030867,JARID1B,Q8VCQ4
linc1343,NONMMUG030867,NONMMUG030867,RING1B,Q9CQJ4
linc1349,-,linc1349,ESET,O88974
linc1349,-,linc1349,JARID1C,Q8CGG4
linc1349,-,linc1349,RING1B,Q9CQJ4
5430416N02Rik,NONMMUG033102,NONMMUG033102,SUV39H1,A2AC19
5430416N02Rik,NONMMUG033102,NONMMUG033102,ESET,O88974
5430416N02Rik,NONMMUG033102,NONMMUG033102,SETD8,Q9NQR1
5430416N02Rik,NONMMUG033102,NONMMUG033102,CBX1,P83916
5430416N02Rik,NONMMUG033102,NONMMUG033102,PRC2,-
5430416N02Rik,NONMMUG033102,NONMMUG033102,JARID1B,Q8VCQ4
5430416N02Rik,NONMMUG033102,NONMMUG033102,RING1B,Q9CQJ4
linc1379,-,linc1379,SUV39H1,A2AC19
linc1379,-,linc1379,ESET,O88974
linc1379,-,linc1379,CBX1,P83916
linc1382,NONMMUG037865,NONMMUG037865,SUV39H1,A2AC19
linc1382,NONMMUG037865,NONMMUG037865,JARID1C,Q8CGG4
linc1382,NONMMUG037865,NONMMUG037865,YY1,H0YJU4
linc1385,NONMMUG038160,NONMMUG038160,SUV39H1,A2AC19
linc1385,NONMMUG038160,NONMMUG038160,ESET,O88974
linc1385,NONMMUG038160,NONMMUG038160,JARID1C,Q8CGG4
linc1385,NONMMUG038160,NONMMUG038160,CBX1,P83916
linc1385,NONMMUG038160,NONMMUG038160,PRC2,-
linc1385,NONMMUG038160,NONMMUG038160,JARID1B,Q8VCQ4
linc1385,NONMMUG038160,NONMMUG038160,RING1B,Q9CQJ4
linc1388,NONMMUG039373,NONMMUG039373,CBX3,Q13185
linc1388,NONMMUG039373,NONMMUG039373,YY1,H0YJU4
linc1388,NONMMUG039373,NONMMUG039373,Tip60,Q8CHK4
4933436C20Rik,NONMMUG041273,NONMMUG041273,CBX3,Q13185
5530601H04Rik,NONMMUG045607,NONMMUG045607,SUV39H1,A2AC19
5530601H04Rik,NONMMUG045607,NONMMUG045607,ESET,O88974
C330013F16Rik,NONMMUG045923,NONMMUG045923,CBX3,Q13185
C330013F16Rik,NONMMUG045923,NONMMUG045923,YY1,H0YJU4
C330013F16Rik,NONMMUG045923,NONMMUG045923,CBX1,P83916
C330013F16Rik,NONMMUG045923,NONMMUG045923,PRC2,-
linc1417,-,linc1417,CBX1,P83916
linc1422,-,linc1422,SUV39H1,A2AC19
linc1422,-,linc1422,ESET,O88974
linc1422,-,linc1422,SETD8,Q9NQR1
linc1422,-,linc1422,CBX1,P83916
linc1422,-,linc1422,PRC2,-
linc1422,-,linc1422,JARID1B,Q8VCQ4
linc1422,-,linc1422,RING1B,Q9CQJ4
linc1423,NONMMUG001887,NONMMUG001887,HDAC1,O09106
linc1423,NONMMUG001887,NONMMUG001887,ESET,O88974
linc1423,NONMMUG001887,NONMMUG001887,CBX1,P83916
linc1439,-,linc1439,CBX3,Q13185
linc1439,-,linc1439,SUV39H1,A2AC19
linc1439,-,linc1439,ESET,O88974
linc1439,-,linc1439,SETD8,Q9NQR1
NONMMUG007313,NONMMUG007314,NONMMUG007314,SUV39H1,A2AC19
NONMMUG007313,NONMMUG007314,NONMMUG007314,ESET,O88974
NONMMUG007313,NONMMUG007314,NONMMUG007314,JARID1C,Q8CGG4
linc1458,NONMMUG009968,NONMMUG009968,CBX3,Q13185
linc1458,NONMMUG009968,NONMMUG009968,JARID1C,Q8CGG4
linc1458,NONMMUG009968,NONMMUG009968,PRC2,-
linc1458,NONMMUG009968,NONMMUG009968,JARID1B,Q8VCQ4
linc1458,NONMMUG009968,NONMMUG009968,RING1B,Q9CQJ4
linc1463,-,linc1463,HDAC1,O09106
linc1463,-,linc1463,SUV39H1,A2AC19
linc1463,-,linc1463,CBX1,P83916
Gm2373,NONMMUG011683,NONMMUG011683,YY1,H0YJU4
Gm2373,NONMMUG011683,NONMMUG011683,JARID1B,Q8VCQ4
Gm2373,NONMMUG011683,NONMMUG011683,RING1B,Q9CQJ4
linc1476,NONMMUG014644,NONMMUG014644,CBX3,Q13185
linc1476,NONMMUG014644,NONMMUG014644,SUV39H1,A2AC19
linc1476,NONMMUG014644,NONMMUG014644,JARID1C,Q8CGG4
linc1476,NONMMUG014644,NONMMUG014644,CBX1,P83916
linc1476,NONMMUG014644,NONMMUG014644,Tip60,Q8CHK4
linc1476,NONMMUG014644,NONMMUG014644,RING1B,Q9CQJ4
linc1477,-,linc1477,HDAC1,O09106
linc1477,-,linc1477,JARID1C,Q8CGG4
linc1477,-,linc1477,PRC2,-
linc1477,-,linc1477,JARID1B,Q8VCQ4
linc1477,-,linc1477,Tip60,Q8CHK4
linc1477,-,linc1477,RING1B,Q9CQJ4
AC163291.1,NONMMUG015541,NONMMUG015541,HDAC1,O09106
AC163291.1,NONMMUG015541,NONMMUG015541,CBX1,P83916
AC163291.1,NONMMUG015541,NONMMUG015541,PRC2,-
AC163291.1,NONMMUG015541,NONMMUG015541,Tip60,Q8CHK4
linc1483,-,linc1483,YY1,H0YJU4
linc1483,-,linc1483,PRC2,-
linc1483,-,linc1483,Tip60,Q8CHK4
linc1483,-,linc1483,RING1B,Q9CQJ4
1300002E11Rik,NONMMUG016035,NONMMUG016035,SUV39H1,A2AC19
1300002E11Rik,NONMMUG016035,NONMMUG016035,CBX1,P83916
linc1500,NONMMUG020081,NONMMUG020081,ESET,O88974
linc1500,NONMMUG020081,NONMMUG020081,JARID1C,Q8CGG4
linc1500,NONMMUG020081,NONMMUG020081,CBX1,P83916
linc1500,NONMMUG020081,NONMMUG020081,PRC2,-
linc1506,-,linc1506,SUV39H1,A2AC19
linc1506,-,linc1506,ESET,O88974
linc1509,NONMMUG024028,NONMMUG024028,ESET,O88974
linc1509,NONMMUG024028,NONMMUG024028,CBX1,P83916
linc1509,NONMMUG024028,NONMMUG024028,PRC2,-
linc1509,NONMMUG024028,NONMMUG024028,JARID1B,Q8VCQ4
linc1509,NONMMUG024028,NONMMUG024028,RING1B,Q9CQJ4
linc1515,-,linc1515,HDAC1,O09106
linc1515,-,linc1515,SUV39H1,A2AC19
linc1515,-,linc1515,PRC2,-
linc1515,-,linc1515,Tip60,Q8CHK4
AC117663.1,NONMMUG031941,NONMMUG031941,ESET,O88974
AC117663.1,NONMMUG031941,NONMMUG031941,JARID1C,Q8CGG4
AC117663.1,NONMMUG031941,NONMMUG031941,SETD8,Q9NQR1
AC117663.1,NONMMUG031941,NONMMUG031941,PRC2,-
AC117663.1,NONMMUG031941,NONMMUG031941,JARID1B,Q8VCQ4
AC117663.1,NONMMUG031941,NONMMUG031941,RING1B,Q9CQJ4
AC123687.1,NONMMUG033185,NONMMUG033185,SETD8,Q9NQR1
AC123687.1,NONMMUG033185,NONMMUG033185,CBX1,P83916
AC123687.1,NONMMUG033185,NONMMUG033185,PRC2,-
Gm15055,NONMMUG035343,NONMMUG035343,CBX3,Q13185
Gm15055,NONMMUG035343,NONMMUG035343,SUV39H1,A2AC19
Gm15051,NONMMUG035346,NONMMUG035346,CBX1,P83916
Gm15051,NONMMUG035346,NONMMUG035346,PRC2,-
Gm15051,NONMMUG035346,NONMMUG035346,RING1B,Q9CQJ4
linc1549,-,linc1549,HDAC1,O09106
linc1549,-,linc1549,ESET,O88974
linc1549,-,linc1549,JARID1C,Q8CGG4
linc1549,-,linc1549,PRC2,-
linc1549,-,linc1549,RING1B,Q9CQJ4
linc1555,-,linc1555,YY1,H0YJU4
linc1561,-,linc1561,HDAC1,O09106
linc1561,-,linc1561,CBX1,P83916
linc1563,NONMMUG037542,NONMMUG037542,ESET,O88974
linc1563,NONMMUG037542,NONMMUG037542,JARID1C,Q8CGG4
linc1563,NONMMUG037542,NONMMUG037542,CBX1,P83916
linc1563,NONMMUG037542,NONMMUG037542,PRC2,-
linc1563,NONMMUG037542,NONMMUG037542,Tip60,Q8CHK4
linc1563,NONMMUG037542,NONMMUG037542,RING1B,Q9CQJ4
linc1565,NONMMUG037823,NONMMUG037823,JARID1C,Q8CGG4
linc1565,NONMMUG037823,NONMMUG037823,SETD8,Q9NQR1
linc1565,NONMMUG037823,NONMMUG037823,CBX1,P83916
linc1565,NONMMUG037823,NONMMUG037823,Tip60,Q8CHK4
2900076A07Rik,NONMMUG038526,NONMMUG038526,ESET,O88974
2900076A07Rik,NONMMUG038526,NONMMUG038526,PRC2,-
2900076A07Rik,NONMMUG038526,NONMMUG038526,JARID1B,Q8VCQ4
2900076A07Rik,NONMMUG038526,NONMMUG038526,RING1B,Q9CQJ4
AC130841.1,NONMMUG040640,NONMMUG040640,ESET,O88974
AC130841.1,NONMMUG040640,NONMMUG040640,JARID1C,Q8CGG4
AC130841.1,NONMMUG040640,NONMMUG040640,PRC2,-
linc1580,NONMMUG040902,NONMMUG040902,ESET,O88974
linc1580,NONMMUG040902,NONMMUG040902,SETD8,Q9NQR1
linc1580,NONMMUG040902,NONMMUG040902,CBX1,P83916
linc1583,NONMMUG041226,NONMMUG041226,CBX3,Q13185
linc1583,NONMMUG041226,NONMMUG041226,HDAC1,O09106
linc1583,NONMMUG041226,NONMMUG041226,SUV39H1,A2AC19
linc1583,NONMMUG041226,NONMMUG041226,ESET,O88974
linc1583,NONMMUG041226,NONMMUG041226,CBX1,P83916
A230072C01Rik,NONMMUG044612,NONMMUG044612,ESET,O88974
A230072C01Rik,NONMMUG044612,NONMMUG044612,SETD8,Q9NQR1
A230072C01Rik,NONMMUG044612,NONMMUG044612,CBX1,P83916
linc1597,NONMMUG004979,NONMMUG004979,ESET,O88974
linc1597,NONMMUG004979,NONMMUG004979,PRC2,-
linc1608,-,linc1608,YY1,H0YJU4
linc1608,-,linc1608,CBX1,P83916
AC122247.1,NONMMUG016306,NONMMUG016306,ESET,O88974
AC122247.1,NONMMUG016306,NONMMUG016306,JARID1C,Q8CGG4
linc1612,-,linc1612,ESET,O88974
linc1612,-,linc1612,PRC2,-
linc1612,-,linc1612,JARID1B,Q8VCQ4
linc1612,-,linc1612,RING1B,Q9CQJ4
2410004N09Rik,NONMMUG019605,NONMMUG019605,SUV39H1,A2AC19
2410004N09Rik,NONMMUG019605,NONMMUG019605,ESET,O88974
2410004N09Rik,NONMMUG019605,NONMMUG019605,JARID1C,Q8CGG4
2410004N09Rik,NONMMUG019605,NONMMUG019605,CBX1,P83916
2410004N09Rik,NONMMUG019605,NONMMUG019605,PRC2,-
linc1618,NONMMUG002062,NONMMUG002062,JARID1B,Q8VCQ4
linc1625,NONMMUG015998,NONMMUG015998,SUV39H1,A2AC19
linc1625,NONMMUG015998,NONMMUG015998,CBX1,P83916
linc1633,-,linc1633,CBX3,Q13185
linc1633,-,linc1633,SUV39H1,A2AC19
linc1634,NONMMUG041483,NONMMUG041483,HDAC1,O09106
linc1634,NONMMUG041483,NONMMUG041483,CBX1,P83916
linc1634,NONMMUG041483,NONMMUG041483,JARID1B,Q8VCQ4
linc-HOXA1,-,linc-HOXA1,Purb,Q96QR8
Mistral,-,Mistral,MLL1,Q03164
MRAK005234,-,MRAK005234,Sin3A,Q96ST3
MRAK010087,-,MRAK010087,coREST,Q8VIG1
MRAK011616,-,MRAK011616,coREST,Q8VIG1
MRAK012211,-,MRAK012211,Sin3A,Q96ST3
MRAK013532,-,MRAK013532,Sin3A,Q96ST3
MRAK013532,-,MRAK013532,coREST,Q8VIG1
MRAK013736,-,MRAK013736,Sin3A,Q96ST3
MRAK014035,-,MRAK014035,coREST,Q8VIG1
MRAK014638,-,MRAK014638,coREST,Q8VIG1
MRAK017269,-,MRAK017269,Sin3A,Q96ST3
MRAK017754,-,MRAK017754,Sin3A,Q96ST3
MRAK019982,-,MRAK019982,Sin3A,Q96ST3
MRAK021346,-,MRAK021346,coREST,Q8VIG1
MRAK028347,-,MRAK028347,coREST,Q8VIG1
MRAK035295,-,MRAK035295,coREST,Q8VIG1
MRAK038961,-,MRAK038961,Sin3A,Q96ST3
MRAK040264,-,MRAK040264,Sin3A,Q96ST3
MRAK041468,-,MRAK041468,coREST,Q8VIG1
MRAK043151,-,MRAK043151,Sin3A,Q96ST3
MRAK045560,-,MRAK045560,coREST,Q8VIG1
MRAK046848,-,MRAK046848,coREST,Q8VIG1
MRAK047212,-,MRAK047212,Sin3A,Q96ST3
MRAK047212,-,MRAK047212,coREST,Q8VIG1
MRAK049735,-,MRAK049735,Sin3A,Q96ST3
MRAK050417,-,MRAK050417,coREST,Q8VIG1
MRAK050935,-,MRAK050935,coREST,Q8VIG1
MRAK053211,-,MRAK053211,coREST,Q8VIG1
MRAK080234,-,MRAK080234,Sin3A,Q96ST3
MRAK080604,-,MRAK080604,coREST,Q8VIG1
MRAK082557,-,MRAK082557,Sin3A,Q96ST3
MRAK083513,-,MRAK083513,coREST,Q8VIG1
MRAK086453,-,MRAK086453,coREST,Q8VIG1
MRAK131843,-,MRAK131843,Sin3A,Q96ST3
MRAK135044,-,MRAK135044,Sin3A,Q96ST3
MRAK136334,-,MRAK136334,Sin3A,Q96ST3
MRAK143109,-,MRAK143109,coREST,Q8VIG1
MRAK154943,-,MRAK154943,Sin3A,Q96ST3
MRAK154943,-,MRAK154943,coREST,Q8VIG1
MRAK159688,-,MRAK159688,Sin3A,Q96ST3
MRAK159688,-,MRAK159688,coREST,Q8VIG1
MRAK163011,-,MRAK163011,coREST,Q8VIG1
MRAK164152,-,MRAK164152,coREST,Q8VIG1
MRAK164163,-,MRAK164163,Sin3A,Q96ST3
MRAK164927,-,MRAK164927,Sin3A,Q96ST3
MRAK166199,-,MRAK166199,Sin3A,Q96ST3
MRAK167711,-,MRAK167711,Sin3A,Q96ST3
MRBC019134,-,MRBC019134,Sin3A,Q96ST3
MRBC019134,-,MRBC019134,coREST,Q8VIG1
MRBC030402,-,MRBC030402,Sin3A,Q96ST3
MRBC030402,-,MRBC030402,coREST,Q8VIG1
MRBC052873,-,MRBC052873,Sin3A,Q96ST3
MRBC052873,-,MRBC052873,coREST,Q8VIG1
mrhl,NONMMUG041158,NONMMUG041158,Ddx5,-
MRNR_002452,-,MRNR_002452,coREST,Q8VIG1
MRuc007jsx,-,MRuc007jsx,Sin3A,Q96ST3
MRuc007jsx,-,MRuc007jsx,coREST,Q8VIG1
MRuc007kvk,-,MRuc007kvk,Sin3A,Q96ST3
MRuc007nzw,-,MRuc007nzw,coREST,Q8VIG1
MRuc007pap,-,MRuc007pap,coREST,Q8VIG1
MRuc007pas,-,MRuc007pas,Sin3A,Q96ST3
MRuc008sut,-,MRuc008sut,coREST,Q8VIG1
MRuc008vjw,-,MRuc008vjw,coREST,Q8VIG1
MRuc008ymd,-,MRuc008ymd,coREST,Q8VIG1
MRuc009dpe,-,MRuc009dpe,Sin3A,Q96ST3
MRuc009ktv,-,MRuc009ktv,coREST,Q8VIG1
MRuc009mni,-,MRuc009mni,coREST,Q8VIG1
MRuc009pdp,-,MRuc009pdp,coREST,Q8VIG1
Myheart779,-,Myheart779,Brg1,P51532
NR_027324,-,NR_027324,Sin3A,Q96ST3
S66184,-,S66184,Sin3A,Q96ST3
S74342,-,S74342,Sin3A,Q96ST3
S77494,-,S77494,Sin3A,Q96ST3
S81002,-,S81002,coREST,Q8VIG1
Gm21960,NONMMUG027325,NONMMUG027325,TERRA,NM_145831
Gm21960,NONMMUG027325,NONMMUG027325,TERT,O14746
Gm21960,NONMMUG027325,NONMMUG027325,TEP1,Q5XKB2
TERRA,-,TERRA,TERT,O14746
Tmem14c,NONMMUG067345,NONMMUG067345,coREST,Q8VIG1
Tug-1,-,Tug-1,PRC2,-
U1,NONMMUNOBEDT000188,NONMMUNOBEDT000188,SmB,P14678
U1,NONMMUNOBEDT000188,NONMMUNOBEDT000188,snrpa,P09012
U1,NONMMUNOBEDT000188,NONMMUNOBEDT000188,SmN,P63163
U1,NONMMUNOBEDT000188,NONMMUNOBEDT000188,Snrp1C,Q62241
U1,NONMMUNOBEDT000188,NONMMUNOBEDT000188,70kDa,Q62376
U2,NONMMUNOBEDT000186,NONMMUNOBEDT000186,SF3b,Q99NB9
U3,NONMMUT012388,NONMMUT012388,Ncl,B3KM80
U3,NONMMUT012388,NONMMUT012388,P110,Q8R1B4
U7,NONMMUT058794,NONMMUT058794,SLBP,Q14493
uc.308-,-,uc.308-,coREST,Q8VIG1
uc.63-,-,uc.63-,coREST,Q8VIG1
X05699,-,X05699,Sin3A,Q96ST3
X93219,-,X93219,coREST,Q8VIG1
Xist,NONMMUG045569,NONMMUG045569,Celf1,P28659
Xist,NONMMUG045569,NONMMUG045569,Ciz1,Q9ULV3
Xist,NONMMUG045569,NONMMUG045569,Ddx17,Q501J6
Xist,NONMMUG045569,NONMMUG045569,Ddx39a,Q8VDW0
Xist,NONMMUG045569,NONMMUG045569,Ddx39b,Q9Z1N5
Xist,NONMMUG045569,NONMMUG045569,Ddx5,-
Xist,NONMMUG045569,NONMMUG045569,Dhx9,O70133
Xist,NONMMUG045569,NONMMUG045569,Eif4a3,Q91VC3
Xist,NONMMUG045569,NONMMUG045569,Elavl1,P70372
Xist,NONMMUG045569,NONMMUG045569,Erh,P84089
Xist,NONMMUG045569,NONMMUG045569,Fubp3,-
Xist,NONMMUG045569,NONMMUG045569,Fus,P35637
Xist,NONMMUG045569,NONMMUG045569,Hmgb1,P09429
Xist,NONMMUG045569,NONMMUG045569,Hnrnpa0,Q13151
Xist,NONMMUG045569,NONMMUG045569,Hnrnpa1,P09651
Xist,NONMMUG045569,NONMMUG045569,Hnrnpa2b1,O88569
Xist,NONMMUG045569,NONMMUG045569,Hnrnpa3,H7C1J8
Xist,NONMMUG045569,NONMMUG045569,Hnrnpab,D6RD18
Xist,NONMMUG045569,NONMMUG045569,Hnrnpc,P07910
Xist,NONMMUG045569,NONMMUG045569,Hnrnpd,H0YA96
Xist,NONMMUG045569,NONMMUG045569,Hnrnph3,-
Xist,NONMMUG045569,NONMMUG045569,hnRNP-K,P61979
Xist,NONMMUG045569,NONMMUG045569,Hnrnpl,Q6NTA2
Xist,NONMMUG045569,NONMMUG045569,Hnrnpm,P52272
Xist,NONMMUG045569,NONMMUG045569,Hnrnpr,B4DT28
Xist,NONMMUG045569,NONMMUG045569,Hnrnpu,Q00839
Xist,NONMMUG045569,NONMMUG045569,Hnrnpul2,Q1KMD3
Xist,NONMMUG045569,NONMMUG045569,Hnrpdl,-
Xist,NONMMUG045569,NONMMUG045569,Hnrpll,Q921F4
Xist,NONMMUG045569,NONMMUG045569,Igf2bp1,L8ECD2
Xist,NONMMUG045569,NONMMUG045569,Igf2bp3,F8WD15
Xist,NONMMUG045569,NONMMUG045569,Ilf2,Q12905
Xist,NONMMUG045569,NONMMUG045569,Ilf3,Q12906
Xist,NONMMUG045569,NONMMUG045569,Khdrbs1,Q60749
Xist,NONMMUG045569,NONMMUG045569,Khsrp,Q3U0V1
Xist,NONMMUG045569,NONMMUG045569,L1td1,Q587J6
Xist,NONMMUG045569,NONMMUG045569,Lin28a,Q8K3Y3
Xist,NONMMUG045569,NONMMUG045569,Matr3,P43243
Xist,NONMMUG045569,NONMMUG045569,Mybbp1a,Q7TPV4
Xist,NONMMUG045569,NONMMUG045569,Myef2,Q8C854
Xist,NONMMUG045569,NONMMUG045569,Nono,Q15233
Xist,NONMMUG045569,NONMMUG045569,Pcgf5,Q86SE9
Xist,NONMMUG045569,NONMMUG045569,Poldip3,Q8BG81
Xist,NONMMUG045569,NONMMUG045569,Ptbp1,-
Xist,NONMMUG045569,NONMMUG045569,Ptbp2,Q91Z31
Xist,NONMMUG045569,NONMMUG045569,Raly,Q64012
Xist,NONMMUG045569,NONMMUG045569,Rbfox2,B0QYV1
Xist,NONMMUG045569,NONMMUG045569,Rbm14,Q8C2Q3
Xist,NONMMUG045569,NONMMUG045569,Rbm15,Q0VBL3
