lncRNA_ID,Score,PredLabel
lNONHSAG008675,1.641713009365457,1
lNONHSAG008670,2.1054977308654053,1
lHSALNG0008545,2.1228636667453564,1
lHSALNG0084672,1.601344249762203,1
lNONHSAG036783,1.297970787392,1
lNONHSAG052119,1.1405632122431477,1
lNONHSAG000835,1.25093663664995,1
lHSALNG0091361,1.5297879106231953,1
lNONHSAG054780,1.6742384368076948,1
lNONHSAG019051,1.4823724440612516,1
lHSALNG0015768,1.465410968138837,1
lHSALNG0098601,1.9984674407298222,1
lNONHSAG044283,1.3858499956374537,1
lNONHSAG018536,1.34681289887342,1
lHSALNG0114404,2.07116901665648,1
lHSALNG0130661,1.8774317534076737,1
lNONHSAG029503,1.5015277510090606,1
lNONHSAG000840,1.5436570793818127,1
lHSALNG0065926,1.535542185424756,1
lNONHSAG103817,1.3729187627806816,1
lNONHSAG031749,1.470300529168096,1
lNONHSAG021882,1.5868325791126345,1
lHSALNG0105618,1.7844757781811005,1
lNONHSAG000498,2.9847562682341326,1
lNONHSAG053806,1.8649609503710813,1
lRP11-25K21.6,1.4487559103093126,1
lHSALNG0002269,1.6297065594676745,1
lNONHSAG034508,1.7285040643362457,1
lNONHSAG054779,1.814359509420509,1
lNONHSAG031102,1.5667387795577348,1
lNONHSAG016639,1.7920173537631676,1
lNONHSAG017679,1.326868115524075,1
lAC015849.19,1.3576495784281626,1
lNONHSAG055499,1.578974759397024,1
lNONHSAG026599,1.5587461689569402,1
lNONHSAG037936,1.5735032762364192,1
lNONHSAG038728,1.1994550116331872,1
lNONHSAG016770,1.863682878047836,1
lNONHSAG034935,1.1745278776837118,1
lNONHSAG026129,1.304718852581086,1
lNONHSAG048354,1.7052538565956858,1
lRP11-793H13.8,1.4685357666407377,1
lNONHSAG016771,2.0913868698211324,1
lNONHSAG015798,1.38915566980371,1
lRP11-119K6.6,1.5025041924448992,1
lNONHSAG027894,1.562345678765734,1
lENSG00000283360,1.5949171612036928,1
lNONHSAG027432,1.5287380247698472,1
lHSALNG0020713,1.5296298793915035,1
lRP5-1165K10.2,1.8059008335246851,1
lENSG00000282740,1.6168311486917126,1
lNONHSAG017913,1.673227145033973,1
lNONHSAG013413,1.3276603506733942,1
lNONHSAG023207,1.5473129710515074,1
lNONHSAG031616,1.4943010878703937,1
lNONHSAG018999,1.42459425072796,1
lNONHSAG019693,1.378069788569146,1
lRP11-478C19.2,1.5273610688628558,1
lNONHSAG011351,1.2621236556823696,1
lENSG00000282143,1.5249515324909417,1
lRP11-21J18.1,1.1746261073447748,1
lNONHSAG009372,1.3189189782310073,1
lNONHSAG025906,1.3541728587544917,1
lAP000320.7,1.3947909575223711,1
lNONHSAG001812,1.3086967482862768,1
lENSG00000286016,1.5050121625484358,1
lNONHSAG007431,1.2426477806899747,1
lNONHSAG000930,1.5782194626847392,1
lNONHSAG009343,1.6932662327720003,1
lNONHSAG011627,1.3005902630131878,1
lNONHSAG011291,1.339749073502471,1
lNONHSAG073380,1.3487096151184481,1
lNONHSAG024913,1.5189528723212042,1
lNONHSAG002205,0.7685718588194668,1
lNONHSAG021309,1.0642340842002618,1
lNONHSAG041241,1.6545916823580846,1
lU2,2.4889472154776477,1
lHSALNG0104546,1.9728487588724697,1
lENSG00000262202,1.3042232789675658,1
lNONHSAG061429,1.6663005520593366,1
lNONHSAG005321,1.5506585328760671,1
lNONHSAG044006,1.3892513274577531,1
lENSG00000282885,1.3482007976747603,1
lHSALNG0112256,1.9149292483578897,1
lNONHSAG037320,1.8483084945233053,1
lHSALNG0150752,1.094697011466419,1
lNONHSAG022655,1.0886814290433016,1
lNONHSAG011785,1.5046877545903605,1
lNONHSAG088395,1.6374670389660189,1
lENSG00000225470,1.1309973457041842,1
lNONHSAG031645,1.3070005266781628,1
lNONHSAG004680,1.1672789069539782,1
lNONHSAG030057,1.546080756987319,1
lNONHSAG040958,1.3296312079513477,1
lRP1-283E3.8,1.8525109310353365,1
lNONHSAG050712,1.255743064363525,1
lNONHSAG055008,1.39778830656223,1
lNONHSAG020869,1.482390086579425,1
lNONHSAG038927,1.1999182742543546,1
lNONHSAG001765,1.0356217596804775,1
lNONHSAG004975,1.50028831949518,1
lNONHSAG043403,1.321842415634233,1
lNONHSAG011125,1.4203950729812185,1
lNONHSAG022078,1.6333370016437208,1
lNONHSAG033611,1.123296366947411,1
lHSALNG0115571,1.3246248490030972,1
lNONHSAG008914,1.3321060275543992,1
lNONHSAG026661,1.4441285494667504,1
lENSG00000236449,1.3582821626951151,1
lNONHSAG041023,1.6385228532994454,1
lNONHSAG024903,1.240252250084449,1
lNONHSAG015692,1.4174442973437742,1
lNONHSAG015904,1.7211391861990073,1
lRP11-77K12.8,1.5387887080258587,1
lNONHSAG020957,1.9078027728026221,1
lNONHSAG032053,1.2110531325050964,1
lNONHSAG045089,1.0250260125772677,1
lHSALNG0028877,1.482650641131709,1
lHSALNG0034870,1.54056857984693,1
lNONHSAG015674,1.2027263146171059,1
lNONHSAG011446,1.2819568549933216,1
lHSALNG0113669,1.6384210053543136,1
lHSALNG0147034,1.9328908434199228,1
lNONHSAG041236,1.5523006333323899,1
lENSG00000259053,1.3436000242802457,1
lNONHSAG047830,1.4951810067483926,1
lHSALNG0147033,1.869966514919124,1
lNONHSAG014362,1.9588793046453894,1
lENSG00000264772,1.4148713323785351,1
lCTD-2184D3.5,0.9505260674943337,1
lNONHSAG023185,1.4001574270159232,1
lNONHSAG040308,1.3875892625209723,1
lNONHSAG053631,1.3483443244916025,1
lNONHSAG042000,1.1174393691895652,1
lNONHSAG034063,1.357812466206223,1
lRP11-29G8.3,1.1763389986233328,1
lNONHSAG020996,1.6017563304327744,1
lNONHSAG017838,1.3248247177907295,1
lRP11-216L13.19,1.3583677652744903,1
lNONHSAG009182,1.2157110814741223,1
lNONHSAG008727,1.0573421878909635,1
lNONHSAG002881,1.3924148051009801,1
lRP11-618G20.1,1.5836678723905884,1
lENSG00000288632,1.0949821230631862,1
lNONHSAG019049,1.5357961360602381,1
lNONHSAG020635,1.3850797657865535,1
lHSALNG0059170,2.672946357615526,1
lHSALNG0057178,1.4815374352196038,1
lNONHSAG073025,1.3139698126631991,1
lHSALNG0112672,1.5283477838991466,1
lNONHSAG007898,1.3492355341798365,1
lNONHSAG048172,1.0827489969651047,1
lNONHSAG017136,1.405488206454347,1
lNONHSAG033691,1.6104242511927929,1
lRP11-212P7.3,1.5131441108113073,1
lRP11-193F5.1,1.5136944759123985,1
lNONHSAG031696,1.595809439516085,1
lNONHSAG003938,1.5483490665199433,1
lNONHSAG053417,1.190944588467925,1
lNONHSAG029191,1.0272349376620404,1
lENSG00000285646,1.3658546967536402,1
lNONHSAG017222,1.120914190706852,1
lNONHSAG020304,1.3969875074584444,1
lENSG00000267924,1.5442450027849866,1
lHSALNG0121509,1.2365090359850193,1
lNONHSAG013515,1.3892993002594345,1
lENSG00000283907,1.0875335959719585,1
lNONHSAG013524,1.052563555707433,1
lENSG00000231332,1.2954676907868752,1
lENSG00000270022,1.477323688575222,1
lNONHSAG016894,1.4089586513654773,1
lNONHSAG047182,1.4826744130963014,1
lNONHSAG034519,1.3576121758291144,1
lNONHSAG048464,1.1186988789646755,1
lNONHSAG015215,1.8235993730213345,1
lNONHSAG007646,0.83819581063916,1
lNONHSAG031145,1.4069327812397283,1
lNONHSAG033216,1.900914021287118,1
lRP11-464F9.1,1.659249602758802,1
lENSG00000258017,1.5588038498845087,1
lNONHSAG034873,1.1242435316409107,1
lHSALNG0113691,1.899356625422893,1
lNONHSAG006598,1.3739649725468404,1
lNONHSAG016861,1.772577071723287,1
lHSALNG0008839,1.6906747916149207,1
lCASC7,1.5861936897435633,1
lNONHSAG019861,1.792526030933839,1
lRP11-158I13.2,1.465363178800569,1
lNONHSAG000579,1.2127624571310456,1
lAC092755.4,1.4068091420752715,1
lAC015849.13,1.758773697427312,1
lNONHSAG022327,1.4661472225960033,1
lNONHSAG024483,1.8766728055924737,1
lRP11-197N18.2,0.993405375515632,1
lNONHSAG017344,1.2865310501538936,1
lENSG00000270103,1.0087200100693217,1
lNONHSAG096230,1.6387293134265484,1
lNONHSAG053586,1.5648818861489069,1
lNONHSAG000981,1.5176381527287326,1
lNONHSAG055855,0.9133233631179216,1
lNONHSAG043583,1.6890152689105058,1
lNONHSAG035305,1.00162497589589,1
lNONHSAG013569,1.5167922818473834,1
lNONHSAG021417,1.3261328994935404,1
