dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000061130,Ppm1b,C,,"{""mgi_marker"":""MGI:101841"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101841""}"
115,10090,ENSMUSG00000029522,Pla2g1b,NE,,"{""mgi_marker"":""MGI:101842"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101842""}"
115,10090,ENSMUSG00000041859,Mcm3,C,,"{""mgi_marker"":""MGI:101845"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101845""}"
115,10090,ENSMUSG00000032192,Gnb5,C,,"{""mgi_marker"":""MGI:101848"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101848""}"
115,10090,ENSMUSG00000020372,Rack1,C,,"{""mgi_marker"":""MGI:101849"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101849""}"
115,10090,ENSMUSG00000020124,Usp15,NE,,"{""mgi_marker"":""MGI:101857"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101857""}"
115,10090,ENSMUSG00000017390,Aldoc,NE,,"{""mgi_marker"":""MGI:101863"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101863""}"
115,10090,ENSMUSG00000039952,Dag1,NE,,"{""mgi_marker"":""MGI:101864"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101864""}"
115,10090,ENSMUSG00000027579,Srms,NE,,"{""mgi_marker"":""MGI:101865"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101865""}"
115,10090,ENSMUSG00000022847,Thpo,NE,,"{""mgi_marker"":""MGI:101875"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101875""}"
115,10090,ENSMUSG00000055320,Tead1,C,,"{""mgi_marker"":""MGI:101876"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101876""}"
115,10090,ENSMUSG00000032228,Tcf12,C,,"{""mgi_marker"":""MGI:101877"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101877""}"
115,10090,ENSMUSG00000009185,Ccl8,NE,,"{""mgi_marker"":""MGI:101878"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101878""}"
115,10090,ENSMUSG00000002250,Ppard,C,,"{""mgi_marker"":""MGI:101884"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101884""}"
115,10090,ENSMUSG00000024406,Pou5f1,C,,"{""mgi_marker"":""MGI:101893"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101893""}"
115,10090,ENSMUSG00000056854,Pou3f4,C,,"{""mgi_marker"":""MGI:101894"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101894""}"
115,10090,ENSMUSG00000095139,Pou3f2,C,,"{""mgi_marker"":""MGI:101895"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101895""}"
115,10090,ENSMUSG00000090125,Pou3f1,C,,"{""mgi_marker"":""MGI:101896"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101896""}"
115,10090,ENSMUSG00000008496,Pou2f2,C,,"{""mgi_marker"":""MGI:101897"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101897""}"
115,10090,ENSMUSG00000026565,Pou2f1,C,,"{""mgi_marker"":""MGI:101898"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101898""}"
115,10090,ENSMUSG00000041193,Pla2g5,NE,,"{""mgi_marker"":""MGI:101899"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101899""}"
