dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000024949,Sf1,E,,"{""mgi_marker"":""MGI:1095403"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095403""}"
115,10090,ENSMUSG00000018169,Mfng,NE,,"{""mgi_marker"":""MGI:1095404"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095404""}"
115,10090,ENSMUSG00000028681,Ptch2,NE,,"{""mgi_marker"":""MGI:1095405"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095405""}"
115,10090,ENSMUSG00000067336,Bmpr2,C,,"{""mgi_marker"":""MGI:1095407"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095407""}"
115,10090,ENSMUSG00000001855,Nup214,C,,"{""mgi_marker"":""MGI:1095411"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095411""}"
115,10090,ENSMUSG00000059921,Unc5c,C,,"{""mgi_marker"":""MGI:1095412"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095412""}"
115,10090,ENSMUSG00000029570,Lfng,C,,"{""mgi_marker"":""MGI:1095413"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095413""}"
115,10090,ENSMUSG00000028217,Cdh17,NE,,"{""mgi_marker"":""MGI:1095414"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095414""}"
115,10090,ENSMUSG00000026141,Col19a1,NE,,"{""mgi_marker"":""MGI:1095415"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095415""}"
115,10090,ENSMUSG00000027276,Jag1,C,,"{""mgi_marker"":""MGI:1095416"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095416""}"
115,10090,ENSMUSG00000027082,Tfpi,C,,"{""mgi_marker"":""MGI:1095418"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095418""}"
115,10090,ENSMUSG00000037369,Kdm6a,C,,"{""mgi_marker"":""MGI:1095419"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095419""}"
115,10090,ENSMUSG00000020059,Sycp3,NE,,"{""mgi_marker"":""MGI:109542"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109542""}"
115,10090,ENSMUSG00000027690,Slc2a2,C,,"{""mgi_marker"":""MGI:1095438"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095438""}"
115,10090,ENSMUSG00000019866,Crybg1,E,,"{""mgi_marker"":""MGI:109544"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109544""}"
115,10090,ENSMUSG00000058396,Gpr182,NE,,"{""mgi_marker"":""MGI:109545"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109545""}"
115,10090,ENSMUSG00000033335,Dnm2,C,,"{""mgi_marker"":""MGI:109547"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109547""}"
115,10090,ENSMUSG00000054693,Adam10,C,,"{""mgi_marker"":""MGI:109548"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109548""}"
115,10090,ENSMUSG00000061723,Tnnt3,C,,"{""mgi_marker"":""MGI:109550"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109550""}"
115,10090,ENSMUSG00000074141,Il4i1,NE,,"{""mgi_marker"":""MGI:109552"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109552""}"
115,10090,ENSMUSG00000030560,Ctsc,NE,,"{""mgi_marker"":""MGI:109553"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109553""}"
115,10090,ENSMUSG00000064796,Terc,C,,"{""mgi_marker"":""MGI:109558"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109558""}"
115,10090,ENSMUSG00000020151,Ptprr,NE,,"{""mgi_marker"":""MGI:109559"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109559""}"
115,10090,ENSMUSG00000044337,Ackr3,C,,"{""mgi_marker"":""MGI:109562"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109562""}"
115,10090,ENSMUSG00000045382,Cxcr4,C,,"{""mgi_marker"":""MGI:109563"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109563""}"
115,10090,ENSMUSG00000074657,Kif5a,C,,"{""mgi_marker"":""MGI:109564"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109564""}"
115,10090,ENSMUSG00000006307,Kmt2b,C,,"{""mgi_marker"":""MGI:109565"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109565""}"
115,10090,ENSMUSG00000042712,Tceal9,NE,,"{""mgi_marker"":""MGI:109567"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109567""}"
115,10090,ENSMUSG00000023008,Fmnl3,NE,,"{""mgi_marker"":""MGI:109569"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109569""}"
115,10090,ENSMUSG00000037446,Tulp1,NE,,"{""mgi_marker"":""MGI:109571"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109571""}"
115,10090,ENSMUSG00000005968,Tuft1,NE,,"{""mgi_marker"":""MGI:109572"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109572""}"
115,10090,ENSMUSG00000006281,Tep1,NE,,"{""mgi_marker"":""MGI:109573"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109573""}"
115,10090,ENSMUSG00000022912,Pros1,C,,"{""mgi_marker"":""MGI:1095733"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095733""}"
115,10090,ENSMUSG00000064293,Cntn4,NE,,"{""mgi_marker"":""MGI:1095737"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1095737""}"
115,10090,ENSMUSG00000024979,Tectb,NE,,"{""mgi_marker"":""MGI:109574"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109574""}"
115,10090,ENSMUSG00000037705,Tecta,NE,,"{""mgi_marker"":""MGI:109575"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109575""}"
115,10090,ENSMUSG00000067006,Serpinb5,C,,"{""mgi_marker"":""MGI:109579"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109579""}"
115,10090,ENSMUSG00000013663,Pten,C,,"{""mgi_marker"":""MGI:109583"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109583""}"
115,10090,ENSMUSG00000027695,Pld1,C,,"{""mgi_marker"":""MGI:109585"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109585""}"
115,10090,ENSMUSG00000063727,Tnfrsf11b,NE,,"{""mgi_marker"":""MGI:109587"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109587""}"
115,10090,ENSMUSG00000001173,Ocrl,NE,,"{""mgi_marker"":""MGI:109589"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109589""}"
115,10090,ENSMUSG00000055053,Nfic,C,,"{""mgi_marker"":""MGI:109591"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109591""}"
115,10090,ENSMUSG00000023572,Ccndbp1,NE,,"{""mgi_marker"":""MGI:109595"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109595""}"
115,10090,ENSMUSG00000031910,Has3,NE,,"{""mgi_marker"":""MGI:109599"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109599""}"
115,10090,ENSMUSG00000032475,Nck1,NE,,"{""mgi_marker"":""MGI:109601"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109601""}"
115,10090,ENSMUSG00000047454,Gphn,C,,"{""mgi_marker"":""MGI:109602"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109602""}"
115,10090,ENSMUSG00000042190,Cmklr1,NE,,"{""mgi_marker"":""MGI:109603"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109603""}"
115,10090,ENSMUSG00000028680,Plk3,C,,"{""mgi_marker"":""MGI:109604"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109604""}"
115,10090,ENSMUSG00000026425,Srgap2,NE,,"{""mgi_marker"":""MGI:109605"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109605""}"
115,10090,ENSMUSG00000000392,Fap,NE,,"{""mgi_marker"":""MGI:109608"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109608""}"
115,10090,ENSMUSG00000034171,Faah,NE,,"{""mgi_marker"":""MGI:109609"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109609""}"
115,10090,ENSMUSG00000041773,Enc1,NE,,"{""mgi_marker"":""MGI:109610"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109610""}"
115,10090,ENSMUSG00000054889,Dsp,C,,"{""mgi_marker"":""MGI:109611"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109611""}"
115,10090,ENSMUSG00000049685,Cyp2g1,NE,,"{""mgi_marker"":""MGI:109612"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109612""}"
115,10090,ENSMUSG00000022324,Matn2,NE,,"{""mgi_marker"":""MGI:109613"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109613""}"
115,10090,ENSMUSG00000089661,Mia,NE,,"{""mgi_marker"":""MGI:109615"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109615""}"
115,10090,ENSMUSG00000032033,Barx2,NE,,"{""mgi_marker"":""MGI:109617"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109617""}"
115,10090,ENSMUSG00000006273,Atp6v1b2,E,,"{""mgi_marker"":""MGI:109618"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109618""}"
115,10090,ENSMUSG00000027967,Neurog2,C,,"{""mgi_marker"":""MGI:109619"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109619""}"
115,10090,ENSMUSG00000000325,Arvcf,NE,,"{""mgi_marker"":""MGI:109620"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109620""}"
115,10090,ENSMUSG00000024847,Aip,C,,"{""mgi_marker"":""MGI:109622"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109622""}"
115,10090,ENSMUSG00000009995,Taz,NE,,"{""mgi_marker"":""MGI:109626"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109626""}"
115,10090,ENSMUSG00000019088,Dnase1l1,NE,,"{""mgi_marker"":""MGI:109628"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109628""}"
115,10090,ENSMUSG00000019087,Atp6ap1,C,,"{""mgi_marker"":""MGI:109629"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109629""}"
115,10090,ENSMUSG00000016349,Eef1a2,C,,"{""mgi_marker"":""MGI:1096317"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096317""}"
115,10090,ENSMUSG00000024518,Rax,C,,"{""mgi_marker"":""MGI:109632"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109632""}"
115,10090,ENSMUSG00000044052,Ccr10,C,,"{""mgi_marker"":""MGI:1096320"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096320""}"
115,10090,ENSMUSG00000073412,Lst1,NE,,"{""mgi_marker"":""MGI:1096324"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096324""}"
115,10090,ENSMUSG00000030543,Mesp2,C,,"{""mgi_marker"":""MGI:1096325"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096325""}"
115,10090,ENSMUSG00000024182,Axin1,C,,"{""mgi_marker"":""MGI:1096327"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096327""}"
115,10090,ENSMUSG00000047861,Foxi1,NE,,"{""mgi_marker"":""MGI:1096329"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096329""}"
115,10090,ENSMUSG00000024959,Bad,C,,"{""mgi_marker"":""MGI:1096330"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096330""}"
115,10090,ENSMUSG00000005357,Slc1a6,NE,,"{""mgi_marker"":""MGI:1096331"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096331""}"
115,10090,ENSMUSG00000052593,Adam17,C,,"{""mgi_marker"":""MGI:1096335"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096335""}"
115,10090,ENSMUSG00000032537,Ephb1,C,,"{""mgi_marker"":""MGI:1096337"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096337""}"
115,10090,ENSMUSG00000029869,Ephb6,NE,,"{""mgi_marker"":""MGI:1096338"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096338""}"
115,10090,ENSMUSG00000025925,Terf1,C,,"{""mgi_marker"":""MGI:109634"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109634""}"
115,10090,ENSMUSG00000016477,E2f3,C,,"{""mgi_marker"":""MGI:1096340"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096340""}"
115,10090,ENSMUSG00000018983,E2f2,C,,"{""mgi_marker"":""MGI:1096341"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096341""}"
115,10090,ENSMUSG00000007815,Rhoa,NE,,"{""mgi_marker"":""MGI:1096342"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096342""}"
115,10090,ENSMUSG00000096225,Lhx8,C,,"{""mgi_marker"":""MGI:1096343"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096343""}"
115,10090,ENSMUSG00000005686,Ampd3,NE,,"{""mgi_marker"":""MGI:1096344"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096344""}"
115,10090,ENSMUSG00000059434,Gckr,NE,,"{""mgi_marker"":""MGI:1096345"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096345""}"
115,10090,ENSMUSG00000034684,Sema3f,NE,,"{""mgi_marker"":""MGI:1096347"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096347""}"
115,10090,ENSMUSG00000035916,Ptprq,NE,,"{""mgi_marker"":""MGI:1096349"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096349""}"
115,10090,ENSMUSG00000031583,Wrn,NE,,"{""mgi_marker"":""MGI:109635"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109635""}"
115,10090,ENSMUSG00000048373,Fgfbp1,NE,,"{""mgi_marker"":""MGI:1096350"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096350""}"
115,10090,ENSMUSG00000029162,Khk,C,,"{""mgi_marker"":""MGI:1096353"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096353""}"
115,10090,ENSMUSG00000045092,S1pr1,C,,"{""mgi_marker"":""MGI:1096355"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096355""}"
115,10090,ENSMUSG00000024987,Cyp26a1,C,,"{""mgi_marker"":""MGI:1096359"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096359""}"
115,10090,ENSMUSG00000025510,Cd151,C,,"{""mgi_marker"":""MGI:1096360"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096360""}"
115,10090,ENSMUSG00000033768,Nrxn2,C,,"{""mgi_marker"":""MGI:1096362"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096362""}"
115,10090,ENSMUSG00000047953,Gp5,NE,,"{""mgi_marker"":""MGI:1096363"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096363""}"
115,10090,ENSMUSG00000024553,Galr1,NE,,"{""mgi_marker"":""MGI:1096364"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096364""}"
115,10090,ENSMUSG00000079197,Psme2,NE,,"{""mgi_marker"":""MGI:1096365"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096365""}"
115,10090,ENSMUSG00000078652,Psme3,NE,,"{""mgi_marker"":""MGI:1096366"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096366""}"
115,10090,ENSMUSG00000022216,Psme1,NE,,"{""mgi_marker"":""MGI:1096367"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096367""}"
115,10090,ENSMUSG00000009090,Ap1b1,NE,,"{""mgi_marker"":""MGI:1096368"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096368""}"
115,10090,ENSMUSG00000040857,Erf,NE,,"{""mgi_marker"":""MGI:109637"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109637""}"
115,10090,ENSMUSG00000018554,Ybx2,NE,,"{""mgi_marker"":""MGI:1096372"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096372""}"
115,10090,ENSMUSG00000029763,Exoc4,C,,"{""mgi_marker"":""MGI:1096376"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096376""}"
115,10090,ENSMUSG00000032586,Traip,C,,"{""mgi_marker"":""MGI:1096377"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096377""}"
115,10090,ENSMUSG00000025439,Clns1a,C,,"{""mgi_marker"":""MGI:109638"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109638""}"
115,10090,ENSMUSG00000031897,Psmb10,NE,,"{""mgi_marker"":""MGI:1096380"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096380""}"
115,10090,ENSMUSG00000055116,Arntl,C,,"{""mgi_marker"":""MGI:1096381"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096381""}"
115,10090,ENSMUSG00000031073,Fgf15,C,,"{""mgi_marker"":""MGI:1096383"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096383""}"
115,10090,ENSMUSG00000004892,Bcan,NE,,"{""mgi_marker"":""MGI:1096385"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096385""}"
115,10090,ENSMUSG00000031844,Hsd17b2,C,,"{""mgi_marker"":""MGI:1096386"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096386""}"
115,10090,ENSMUSG00000023443,Esx1,NE,,"{""mgi_marker"":""MGI:1096388"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096388""}"
115,10090,ENSMUSG00000066392,Nrxn3,NE,,"{""mgi_marker"":""MGI:1096389"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096389""}"
115,10090,ENSMUSG00000024109,Nrxn1,NE,,"{""mgi_marker"":""MGI:1096391"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096391""}"
115,10090,ENSMUSG00000021730,Hcn1,NE,,"{""mgi_marker"":""MGI:1096392"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096392""}"
115,10090,ENSMUSG00000022676,Snai2,C,,"{""mgi_marker"":""MGI:1096393"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096393""}"
115,10090,ENSMUSG00000037706,Cd81,NE,,"{""mgi_marker"":""MGI:1096398"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096398""}"
115,10090,ENSMUSG00000028715,Cyp4a14,NE,,"{""mgi_marker"":""MGI:1096550"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096550""}"
115,10090,ENSMUSG00000062270,Morf4l1,C,,"{""mgi_marker"":""MGI:1096551"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096551""}"
115,10090,ENSMUSG00000038366,Lasp1,C,,"{""mgi_marker"":""MGI:109656"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:109656""}"
115,10090,ENSMUSG00000025423,Pias2,NE,,"{""mgi_marker"":""MGI:1096566"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096566""}"
115,10090,ENSMUSG00000000805,Car4,C,,"{""mgi_marker"":""MGI:1096574"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096574""}"
115,10090,ENSMUSG00000015085,Entpd2,NE,,"{""mgi_marker"":""MGI:1096863"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096863""}"
115,10090,ENSMUSG00000023013,Aqp2,C,,"{""mgi_marker"":""MGI:1096865"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096865""}"
115,10090,ENSMUSG00000039084,Chad,NE,,"{""mgi_marker"":""MGI:1096866"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096866""}"
115,10090,ENSMUSG00000013089,Etv5,C,,"{""mgi_marker"":""MGI:1096867"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096867""}"
115,10090,ENSMUSG00000029371,Cxcl5,NE,,"{""mgi_marker"":""MGI:1096868"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096868""}"
115,10090,ENSMUSG00000021356,Irf4,NE,,"{""mgi_marker"":""MGI:1096873"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096873""}"
115,10090,ENSMUSG00000043940,Wdfy3,C,,"{""mgi_marker"":""MGI:1096875"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096875""}"
115,10090,ENSMUSG00000003436,Dll3,NE,,"{""mgi_marker"":""MGI:1096877"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096877""}"
115,10090,ENSMUSG00000044748,Defb1,NE,,"{""mgi_marker"":""MGI:1096878"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096878""}"
115,10090,ENSMUSG00000059363,Fxn,C,,"{""mgi_marker"":""MGI:1096879"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1096879""}"
115,10090,ENSMUSG00000030223,Ptpro,NE,,"{""mgi_marker"":""MGI:1097152"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097152""}"
115,10090,ENSMUSG00000031778,Cx3cl1,NE,,"{""mgi_marker"":""MGI:1097153"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097153""}"
115,10090,ENSMUSG00000017969,Ptgis,NE,,"{""mgi_marker"":""MGI:1097156"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097156""}"
115,10090,ENSMUSG00000062168,Ppef1,NE,,"{""mgi_marker"":""MGI:1097157"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097157""}"
115,10090,ENSMUSG00000032340,Neo1,C,,"{""mgi_marker"":""MGI:1097159"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097159""}"
115,10090,ENSMUSG00000027071,P2rx3,C,,"{""mgi_marker"":""MGI:1097160"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097160""}"
115,10090,ENSMUSG00000057789,Bak1,NE,,"{""mgi_marker"":""MGI:1097161"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097161""}"
115,10090,ENSMUSG00000020471,Pold2,E,,"{""mgi_marker"":""MGI:1097163"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097163""}"
115,10090,ENSMUSG00000025105,Bnc1,NE,,"{""mgi_marker"":""MGI:1097164"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097164""}"
115,10090,ENSMUSG00000041014,Nrg3,NE,,"{""mgi_marker"":""MGI:1097165"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097165""}"
115,10090,ENSMUSG00000041359,Tcl1,NE,,"{""mgi_marker"":""MGI:1097166"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097166""}"
115,10090,ENSMUSG00000020407,Upp1,NE,,"{""mgi_marker"":""MGI:1097668"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097668""}"
115,10090,ENSMUSG00000040552,C3ar1,NE,,"{""mgi_marker"":""MGI:1097680"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097680""}"
115,10090,ENSMUSG00000060743,H3f3a,NE,,"{""mgi_marker"":""MGI:1097686"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097686""}"
115,10090,ENSMUSG00000037872,Ackr1,NE,,"{""mgi_marker"":""MGI:1097689"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097689""}"
115,10090,ENSMUSG00000019777,Hdac2,C,,"{""mgi_marker"":""MGI:1097691"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097691""}"
115,10090,ENSMUSG00000031394,Opn1mw,NE,,"{""mgi_marker"":""MGI:1097692"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097692""}"
115,10090,ENSMUSG00000030271,Ogg1,NE,,"{""mgi_marker"":""MGI:1097693"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097693""}"
115,10090,ENSMUSG00000006920,Ezh1,NE,,"{""mgi_marker"":""MGI:1097695"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097695""}"
115,10090,ENSMUSG00000022875,Kng1,NE,,"{""mgi_marker"":""MGI:1097705"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097705""}"
115,10090,ENSMUSG00000038633,Degs1,C,,"{""mgi_marker"":""MGI:1097711"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097711""}"
115,10090,ENSMUSG00000024413,Npc1,C,,"{""mgi_marker"":""MGI:1097712"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097712""}"
115,10090,ENSMUSG00000030103,Bhlhe40,NE,,"{""mgi_marker"":""MGI:1097714"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097714""}"
115,10090,ENSMUSG00000035277,Arx,C,,"{""mgi_marker"":""MGI:1097716"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097716""}"
115,10090,ENSMUSG00000024803,Ankrd1,NE,,"{""mgi_marker"":""MGI:1097717"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1097717""}"
115,10090,ENSMUSG00000039936,Pik3cd,C,,"{""mgi_marker"":""MGI:1098211"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1098211""}"
115,10090,ENSMUSG00000015217,Hmgb3,NE,,"{""mgi_marker"":""MGI:1098219"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1098219""}"
115,10090,ENSMUSG00000020150,Gamt,C,,"{""mgi_marker"":""MGI:1098221"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:1098221""}"
