gene	essentiality	ncbi_id	ensembl
PTCHD3	CSEGs	374308	ENSG00000182077
PTGR1	CSEGs	22949	ENSG00000106853
PTH2	CSEGs	113091	
PTH2R	CSEGs	5746	ENSG00000144407
PTPN2	CSEGs	5771	ENSG00000175354
PTPRD	CSEGs	5789	ENSG00000153707
PTPRH	CSEGs	5794	
PTPRN	CSEGs	5798	ENSG00000054356
PTTG2	CSEGs	10744	ENSG00000250254
PUF60	CEGs	22827	ENSG00000179950
PUS7	CSEGs	54517	ENSG00000091127
PUSL1	CSEGs	126789	ENSG00000169972
PWP2	CEGs	5822	ENSG00000241945
PYGO1	CSEGs	26108	ENSG00000171016
PYY	CSEGs	5697	ENSG00000131096
QKI	CSEGs	9444	ENSG00000112531
R3HDM1	CSEGs	23518	ENSG00000048991
RAB13	CSEGs	5872	ENSG00000143545
RAB24	CSEGs	53917	ENSG00000169228
RAB2A	CSEGs	5862	ENSG00000104388
RAB3A	CSEGs	5864	ENSG00000105649
RAB3B	CSEGs	5865	ENSG00000169213
RAB3C	CSEGs	115827	ENSG00000152932
RAB41	CSEGs	347517	ENSG00000147127
RAB6C	CSEGs	84084	ENSG00000222014
RAB9A	CSEGs	9367	ENSG00000123595
RABAC1	CSEGs	10567	ENSG00000105404
RABEP2	CSEGs	79874	ENSG00000177548
RABGGTB	CEGs	5876	ENSG00000137955
RAC2	CSEGs	5880	ENSG00000128340
RACGAP1	CEGs	29127	ENSG00000161800
RAD18	CSEGs	56852	ENSG00000070950
RAD21L1	CSEGs	642636	ENSG00000244588
RAD54B	CSEGs	25788	ENSG00000197275
RAD54L2	CSEGs	23132	ENSG00000164080
RAE1	CEGs	8480	ENSG00000101146
RAET1E	CSEGs	135250	ENSG00000164520
RALGAPA1	CSEGs	253959	ENSG00000174373
RALGPS2	CSEGs	55103	ENSG00000116191
RAMP2	CSEGs	10266	ENSG00000131477
RAN	CEGs	5901	ENSG00000132341
RANGAP1	CEGs	5905	ENSG00000100401
RAP1GDS1	CSEGs	5910	ENSG00000138698
RAPGEFL1	CSEGs	51195	ENSG00000108352
RASAL3	CSEGs	64926	ENSG00000105122
RASD2	CSEGs	23551	ENSG00000100302
RASSF2	CSEGs	9770	ENSG00000101265
RASSF5	CSEGs	83593	ENSG00000266094
RASSF6	CSEGs	166824	ENSG00000169435
RASSF9	CSEGs	9182	ENSG00000198774
RBAK	CSEGs	57786	ENSG00000146587
RBBP4	CEGs	5928	ENSG00000162521
RBBP6	CEGs	5930	ENSG00000122257
RBBP9	CSEGs	10741	ENSG00000089050
RBL1	CSEGs	5933	ENSG00000080839
RBM17	CEGs	84991	ENSG00000134453
RBM25	CEGs	58517	ENSG00000119707
RBM27	CSEGs	54439	ENSG00000091009
RBMS3	CSEGs	27303	ENSG00000144642
RBMX	CEGs	27316	ENSG00000147274
RBP2	CSEGs	5948	ENSG00000114113
RBX1	CEGs	9978	ENSG00000100387
RCC1	CEGs	1104	ENSG00000180198
RCN3	CSEGs	57333	
RDH8	CSEGs	50700	
REEP4	CSEGs	80346	ENSG00000168476
REM2	CSEGs	161253	ENSG00000139890
REP15	CSEGs	387849	ENSG00000174236
RESP18	CSEGs	389075	ENSG00000182698
REV1	CSEGs	51455	ENSG00000135945
REXO4	CSEGs	57109	ENSG00000148300
RFC2	CEGs	5982	ENSG00000049541
RFC4	CEGs	5984	ENSG00000163918
RFC5	CEGs	5985	ENSG00000111445
RFT1	CEGs	91869	ENSG00000163933
RFX5	CSEGs	5993	ENSG00000143390
RFX7	CSEGs	64864	
RFXAP	CSEGs	5994	ENSG00000133111
RGPD6	CEGs	729540	ENSG00000183054
RGS1	CSEGs	5996	ENSG00000090104
RGS9BP	CSEGs	388531	
RHCE	CSEGs	6006	ENSG00000188672
RHOBTB3	CSEGs	22836	ENSG00000164292
RHOH	CSEGs	399	ENSG00000168421
RHOT1	CSEGs	55288	ENSG00000126858
RHPN1	CSEGs	114822	ENSG00000158106
RIC8A	CSEGs	60626	ENSG00000177963
RIMBP2	CSEGs	23504	ENSG00000060709
RIMS3	CSEGs	9783	ENSG00000117016
RINT1	CEGs	60561	ENSG00000135249
RIOK3	CSEGs	8780	ENSG00000101782
RIT2	CSEGs	6014	ENSG00000152214
RNASE8	CSEGs	122665	ENSG00000173431
RNF112	CSEGs	7732	ENSG00000128482
RNF113A	CEGs	7737	ENSG00000125352
RNF13	CSEGs	11342	ENSG00000082996
RNF157	CSEGs	114804	ENSG00000141576
RNF207	CSEGs	388591	ENSG00000158286
RNF208	CSEGs	727800	ENSG00000212864
RNF216	CSEGs	54476	ENSG00000011275
RNF31	CSEGs	55072	ENSG00000092098
RNF7	CSEGs	9616	ENSG00000114125
RNGTT	CEGs	8732	ENSG00000111880
