gene	essentiality	ncbi_id	ensembl
SURF4	CSEGs	6836	ENSG00000148248
SYCP3	CSEGs	50511	ENSG00000139351
SYK	CSEGs	6850	ENSG00000165025
SYMPK	CEGs	8189	ENSG00000125755
SYNM	CSEGs	23336	ENSG00000182253
SYNPR	CSEGs	132204	ENSG00000163630
SYNRG	CSEGs	11276	ENSG00000275066
SYS1	CEGs	90196	ENSG00000204070
SYT10	CSEGs	341359	ENSG00000110975
SYT6	CSEGs	148281	ENSG00000134207
SYTL4	CSEGs	94121	ENSG00000102362
TAAR2	CSEGs	9287	ENSG00000146378
TAF15	CSEGs	8148	
TAF1L	CSEGs	138474	ENSG00000122728
TAF6	CEGs	6878	ENSG00000106290
TAGLN2	CSEGs	8407	ENSG00000158710
TANGO6	CEGs	79613	ENSG00000103047
TAPT1	CSEGs	202018	ENSG00000169762
TAS1R2	CSEGs	80834	ENSG00000179002
TAS2R20	CSEGs	259295	ENSG00000255837
TAS2R41	CSEGs	259287	ENSG00000221855
TAS2R50	CSEGs	259296	ENSG00000212126
TAX1BP1	CSEGs	8887	ENSG00000106052
TBC1D10C	CSEGs	374403	ENSG00000175463
TBC1D26	CSEGs	353149	ENSG00000214946
TBC1D3F	CEGs	84218	ENSG00000275954
TBC1D8	CSEGs	11138	ENSG00000204634
TBCB	CEGs	1155	ENSG00000105254
TBPL2	CSEGs	387332	ENSG00000182521
TBX20	CSEGs	57057	ENSG00000164532
TCAP	CSEGs	8557	ENSG00000173991
TCEAL1	CSEGs	9338	ENSG00000172465
TCEAL4	CSEGs	79921	ENSG00000133142
TCEAL5	CSEGs	340543	ENSG00000204065
TCEANC2	CSEGs	127428	ENSG00000116205
TCIRG1	CSEGs	10312	ENSG00000110719
TCP1	CEGs	6950	ENSG00000120438
TCP10	CSEGs	6953	ENSG00000203690
TCP10L2	CSEGs	401285	ENSG00000166984
TCTE3	CSEGs	6991	ENSG00000184786
TCTEX1D2	CSEGs	255758	ENSG00000213123
TDRKH	CSEGs	11022	ENSG00000182134
TEK	CSEGs	7010	ENSG00000120156
TEN1	CSEGs	100134934	ENSG00000257949
TERF2	CSEGs	7014	ENSG00000132604
TERF2IP	CSEGs	54386	ENSG00000166848
TESC	CSEGs	54997	ENSG00000088992
TESK1	CSEGs	7016	ENSG00000107140
TEX9	CSEGs	374618	ENSG00000151575
TF	CSEGs	7018	ENSG00000091513
TFAP2B	CSEGs	7021	ENSG00000008196
TFEC	CSEGs	22797	ENSG00000105967
TFIP11	CEGs	24144	ENSG00000100109
TGFBI	CSEGs	7045	ENSG00000120708
TGFBRAP1	CSEGs	9392	ENSG00000135966
THAP2	CSEGs	83591	ENSG00000173451
THBS3	CSEGs	7059	ENSG00000169231
THOC2	CEGs	57187	ENSG00000125676
THOC3	CEGs	84321	ENSG00000051596
THOC5	CEGs	8563	ENSG00000100296
THOP1	CSEGs	7064	
THRA	CSEGs	7067	ENSG00000126351
THSD1	CSEGs	55901	ENSG00000136114
TICAM2	CSEGs	353376	ENSG00000243414
TICRR	CEGs	90381	ENSG00000140534
TIE1	CSEGs	7075	ENSG00000066056
TIGD4	CSEGs	201798	ENSG00000169989
TIMELESS	CEGs	8914	ENSG00000111602
TINCR	CSEGs	257000	ENSG00000223573
TLK1	CSEGs	9874	ENSG00000198586
TLX1	CSEGs	3195	ENSG00000107807
TM9SF1	CSEGs	10548	ENSG00000100926
TM9SF4	CSEGs	9777	ENSG00000101337
TMBIM6	CSEGs	7009	ENSG00000139644
TMCO2	CSEGs	127391	ENSG00000188800
TMCO3	CSEGs	55002	ENSG00000150403
TMED1	CSEGs	11018	
TMED5	CSEGs	50999	ENSG00000117500
TMED9	CSEGs	54732	ENSG00000184840
TMEFF2	CSEGs	23671	ENSG00000144339
TMEM150A	CSEGs	129303	ENSG00000168890
TMEM154	CSEGs	201799	ENSG00000170006
TMEM161B	CSEGs	153396	ENSG00000164180
TMEM164	CSEGs	84187	ENSG00000157600
TMEM168	CSEGs	64418	ENSG00000146802
TMEM189	CSEGs	387521	ENSG00000240849
TMEM212	CSEGs	389177	ENSG00000186329
TMEM216	CSEGs	51259	ENSG00000187049
TMEM234	CSEGs	56063	ENSG00000160055
TMEM236	CSEGs	653567	ENSG00000148483
TMEM237	CSEGs	65062	ENSG00000155755
TMEM42	CSEGs	131616	ENSG00000169964
TMEM50A	CSEGs	23585	ENSG00000183726
TMEM54	CSEGs	113452	ENSG00000121900
TMEM65	CSEGs	157378	ENSG00000164983
TMEM67	CSEGs	91147	ENSG00000164953
TMEM71	CSEGs	137835	ENSG00000165071
TMEM81	CSEGs	388730	ENSG00000174529
TMEM9	CSEGs	252839	ENSG00000116857
TMEM92	CSEGs	162461	
TMPRSS11A	CSEGs	339967	ENSG00000187054
TMSB10	CSEGs	9168	ENSG00000034510
TMTC4	CSEGs	84899	ENSG00000125247
TMX1	CSEGs	81542	
TNFRSF14	CSEGs	8764	ENSG00000157873
TNFRSF4	CSEGs	7293	ENSG00000186827
TNFSF18	CSEGs	8995	ENSG00000120337
TNIK	CSEGs	23043	ENSG00000154310
TOB1	CSEGs	10140	ENSG00000141232
TOMM34	CSEGs	10953	ENSG00000025772
TONSL	CEGs	4796	ENSG00000160949
TOP1	CEGs	7150	ENSG00000198900
TOP2A	CEGs	7153	ENSG00000131747
TOPBP1	CEGs	11073	ENSG00000163781
TOPORS	CSEGs	10210	ENSG00000197579
TOX4	CSEGs	9878	ENSG00000092203
TP53BP2	CSEGs	7159	ENSG00000143514
TP63	CSEGs	8626	ENSG00000073282
TPCN1	CSEGs	53373	ENSG00000186815
TPD52L2	CSEGs	7165	ENSG00000101150
TPMT	CSEGs	7172	ENSG00000137364
TPP2	CSEGs	7174	ENSG00000134900
TPPP	CSEGs	11076	ENSG00000171368
TPSAB1	CSEGs	7177	ENSG00000172236
TPST1	CSEGs	8460	ENSG00000169902
TPST2	CSEGs	8459	ENSG00000128294
TPTE2P2	CSEGs	644623	ENSG00000272281
TRAF6	CSEGs	7189	ENSG00000175104
TRAF7	CSEGs	84231	ENSG00000131653
TRAFD1	CSEGs	10906	ENSG00000135148
TRAK1	CSEGs	22906	ENSG00000182606
TRAM1L1	CSEGs	133022	ENSG00000174599
TRAPPC1	CEGs	58485	ENSG00000170043
TRAPPC2	CEGs	6399	ENSG00000196459
TRAPPC3	CEGs	27095	ENSG00000054116
TRAPPC5	CEGs	126003	
TRAPPC6B	CSEGs	122553	ENSG00000182400
TRAPPC8	CEGs	22878	ENSG00000153339
TREML2	CSEGs	79865	ENSG00000112195
TRIM22	CSEGs	10346	ENSG00000132274
TRIM39	CSEGs	56658	ENSG00000204599
TRIM63	CSEGs	84676	ENSG00000158022
TRIM77	CSEGs	390231	ENSG00000214414
TRIM9	CSEGs	114088	ENSG00000100505
TRIP12	CSEGs	9320	ENSG00000153827
TRIT1	CSEGs	54802	ENSG00000043514
TRMT112	CEGs	51504	ENSG00000173113
TRMT2A	CSEGs	27037	ENSG00000099899
TRMT2B	CSEGs	79979	ENSG00000188917
TRMT61A	CSEGs	115708	
TRNT1	CEGs	51095	ENSG00000072756
TRPA1	CSEGs	8989	ENSG00000104321
TRPC1	CSEGs	7220	ENSG00000144935
TRPC3	CSEGs	7222	ENSG00000138741
TRPC6	CSEGs	7225	
TRRAP	CEGs	8295	ENSG00000196367
TSACC	CSEGs	128229	ENSG00000163467
TSG101	CEGs	7251	ENSG00000074319
TSGA10	CSEGs	80705	ENSG00000135951
TSPAN11	CSEGs	441631	
TSPAN18	CSEGs	90139	ENSG00000157570
TSPAN31	CSEGs	6302	ENSG00000135452
TSR2	CEGs	90121	ENSG00000158526
TSR3	CSEGs	115939	ENSG00000007520
TTC1	CEGs	7265	ENSG00000113312
TTC27	CEGs	55622	ENSG00000018699
TTC29	CSEGs	83894	ENSG00000137473
TTC3	CSEGs	7267	ENSG00000182670
TTLL1	CSEGs	25809	ENSG00000100271
TUBA1C	CEGs	84790	
TUBA3D	CSEGs	113457	ENSG00000075886
TUBG1	CEGs	7283	ENSG00000131462
TUBGCP2	CEGs	10844	ENSG00000130640
TUBGCP3	CEGs	10426	ENSG00000126216
TUBGCP4	CEGs	27229	ENSG00000137822
TULP1	CSEGs	7287	ENSG00000112041
TUSC3	CSEGs	7991	ENSG00000104723
TUT1	CEGs	64852	ENSG00000149016
TWISTNB	CEGs	221830	ENSG00000105849
TXN	CEGs	7295	ENSG00000136810
TXNL1	CSEGs	9352	ENSG00000091164
TXNL4A	CEGs	10907	ENSG00000141759
U2AF1	CEGs	7307	ENSG00000160201
U2AF2	CEGs	11338	
U2SURP	CEGs	23350	ENSG00000163714
UBA1	CEGs	7317	ENSG00000130985
UBA52	CEGs	7311	ENSG00000221983
UBAC1	CSEGs	10422	ENSG00000130560
UBB	CEGs	7314	ENSG00000170315
UBE2D4	CSEGs	51619	ENSG00000078967
UBE2E3	CSEGs	10477	ENSG00000170035
UBE2I	CEGs	7329	ENSG00000103275
UBE2K	CSEGs	3093	ENSG00000078140
UBE2Q2	CSEGs	92912	ENSG00000140367
UBFD1	CSEGs	56061	ENSG00000103353
UBL5	CEGs	59286	ENSG00000198258
UBQLN2	CSEGs	29978	ENSG00000188021
UBTF	CEGs	7343	ENSG00000108312
UBXN2A	CSEGs	165324	ENSG00000173960
UBXN4	CSEGs	23190	ENSG00000144224
UCHL3	CSEGs	7347	ENSG00000118939
UGGT2	CSEGs	55757	ENSG00000102595
UGT3A2	CSEGs	167127	ENSG00000168671
ULK4	CSEGs	54986	ENSG00000168038
UNC93B1	CSEGs	81622	ENSG00000110057
UPF1	CEGs	5976	ENSG00000005007
UPF2	CEGs	26019	ENSG00000151461
UQCC1	CSEGs	55245	ENSG00000101019
UQCC2	CSEGs	84300	ENSG00000137288
URI1	CEGs	8725	ENSG00000105176
USP15	CSEGs	9958	ENSG00000135655
USP17L13	CSEGs	100287238	ENSG00000232399
USP17L5	CEGs	728386	ENSG00000227140
USP39	CEGs	10713	ENSG00000168883
USP49	CSEGs	25862	ENSG00000164663
USP5	CEGs		ENSG00000111667
USPL1	CEGs	10208	ENSG00000132952
UTP15	CEGs	84135	ENSG00000164338
UTP6	CEGs	55813	ENSG00000108651
UTS2	CSEGs	10911	ENSG00000049247
UTY	CSEGs	7404	ENSG00000183878
UXT	CEGs	8409	ENSG00000126756
VAPA	CSEGs	9218	ENSG00000101558
VCP	CEGs	7415	ENSG00000165280
VENTX	CSEGs	27287	ENSG00000151650
VEPH1	CSEGs	79674	ENSG00000197415
VGLL2	CSEGs	245806	ENSG00000170162
VHLL	CSEGs	391104	ENSG00000189030
VIPR2	CSEGs	7434	ENSG00000106018
VKORC1	CSEGs	79001	ENSG00000167397
VN1R5	CSEGs	317705	ENSG00000197617
VPS13A	CSEGs	23230	ENSG00000197969
VPS25	CEGs	84313	ENSG00000131475
VPS28	CEGs	51160	ENSG00000160948
VPS39	CSEGs	23339	ENSG00000166887
VPS45	CSEGs	11311	ENSG00000136631
VSIG10L	CSEGs	147645	ENSG00000186806
VSTM2A	CSEGs	222008	ENSG00000170419
VTCN1	CSEGs	79679	ENSG00000134258
WBP2NL	CSEGs	164684	ENSG00000183066
WBP4	CSEGs	11193	ENSG00000120688
WDHD1	CEGs	11169	ENSG00000198554
WDR12	CEGs	55759	ENSG00000138442
WDR17	CSEGs	116966	ENSG00000150627
WDR33	CEGs	55339	ENSG00000136709
WDR41	CSEGs	55255	ENSG00000164253
WDR43	CEGs	23160	ENSG00000163811
WDR44	CSEGs	54521	ENSG00000131725
WDR61	CEGs	80349	ENSG00000140395
WDR70	CEGs	55100	ENSG00000082068
WDR75	CEGs	84128	ENSG00000115368
WDR89	CSEGs	112840	ENSG00000140006
WDR93	CSEGs	56964	ENSG00000140527
WEE1	CEGs	7465	ENSG00000166483
WFDC10A	CSEGs	140832	ENSG00000180305
WNT4	CSEGs	54361	ENSG00000162552
WNT7B	CSEGs	7477	ENSG00000188064
WRAP73	CSEGs	49856	ENSG00000116213
XAB2	CEGs	56949	
XK	CSEGs	7504	ENSG00000047597
XKR5	CSEGs	389610	ENSG00000275591
XKR8	CSEGs	55113	ENSG00000158156
XPO4	CSEGs	64328	ENSG00000132953
XRCC5	CEGs	7520	ENSG00000079246
XRCC6	CEGs	2547	ENSG00000196419
XRRA1	CSEGs	143570	ENSG00000166435
YBX1	CEGs	4904	ENSG00000065978
YIPF3	CSEGs	25844	ENSG00000137207
YIPF4	CSEGs	84272	ENSG00000119820
YIPF7	CSEGs	285525	ENSG00000177752
YWHAB	CSEGs	7529	ENSG00000166913
ZAP70	CSEGs	7535	ENSG00000115085
ZBBX	CSEGs	79740	ENSG00000169064
ZBTB12	CSEGs	221527	ENSG00000204366
ZBTB16	CSEGs	7704	ENSG00000109906
ZBTB33	CSEGs	10009	ENSG00000177485
ZBTB4	CSEGs	57659	ENSG00000174282
ZBTB5	CSEGs	9925	ENSG00000168795
ZBTB8OS	CEGs	339487	ENSG00000176261
ZC3H12C	CSEGs	85463	ENSG00000149289
ZC3H3	CSEGs	23144	ENSG00000014164
ZFAND6	CSEGs	54469	ENSG00000086666
ZFAT	CSEGs	57623	ENSG00000066827
ZFP2	CSEGs	80108	ENSG00000198939
ZFP36L2	CSEGs	678	ENSG00000152518
ZFPM1	CSEGs	161882	ENSG00000179588
ZFY	CSEGs	7544	ENSG00000067646
ZMAT1	CSEGs	84460	ENSG00000166432
ZNF107	CSEGs	51427	ENSG00000196247
ZNF117	CSEGs	51351	ENSG00000152926
ZNF131	CEGs	7690	ENSG00000172262
ZNF133	CSEGs	7692	ENSG00000125846
ZNF135	CSEGs	7694	
ZNF14	CSEGs	7561	
ZNF16	CSEGs	7564	ENSG00000170631
ZNF184	CSEGs	7738	ENSG00000096654
ZNF2	CSEGs	7549	ENSG00000275111
ZNF20	CSEGs	7568	ENSG00000132010
ZNF204P	CSEGs	7754	ENSG00000204789
ZNF221	CSEGs	7638	ENSG00000159905
ZNF227	CSEGs	7770	
ZNF229	CSEGs	7772	
ZNF230	CSEGs	7773	
ZNF24	CSEGs	7572	ENSG00000172466
ZNF248	CSEGs	57209	ENSG00000198105
ZNF256	CSEGs	10172	
ZNF28	CSEGs	7576	ENSG00000198538
ZNF280A	CSEGs	129025	ENSG00000169548
ZNF280D	CSEGs	54816	
ZNF284	CSEGs	342909	
ZNF286A	CSEGs	57335	ENSG00000187607
ZNF30	CSEGs	90075	
ZNF300	CSEGs	91975	ENSG00000145908
ZNF302	CSEGs	55900	ENSG00000089335
ZNF32	CSEGs	7580	ENSG00000169740
ZNF324	CSEGs	25799	
ZNF334	CSEGs	55713	ENSG00000198185
ZNF337	CSEGs	26152	ENSG00000130684
ZNF347	CSEGs	84671	
ZNF35	CSEGs	7584	ENSG00000169981
ZNF354A	CSEGs	6940	ENSG00000169131
ZNF383	CSEGs	163087	
ZNF396	CSEGs	252884	ENSG00000186496
ZNF425	CSEGs	155054	ENSG00000204947
ZNF426	CSEGs	79088	
ZNF430	CSEGs	80264	
ZNF439	CSEGs	90594	ENSG00000171291
ZNF443	CSEGs	10224	ENSG00000180855
ZNF468	CSEGs	90333	
ZNF474	CSEGs	133923	ENSG00000164185
ZNF479	CSEGs	90827	ENSG00000185177
ZNF502	CSEGs	91392	ENSG00000196653
ZNF503	CSEGs	84858	ENSG00000165655
ZNF511	CSEGs	118472	ENSG00000198546
ZNF519	CSEGs	162655	ENSG00000175322
ZNF527	CSEGs	84503	ENSG00000189164
ZNF564	CSEGs	163050	ENSG00000249709
ZNF567	CSEGs	163081	
ZNF585B	CSEGs	92285	
ZNF589	CSEGs	51385	ENSG00000164048
ZNF595	CSEGs	152687	ENSG00000272602
ZNF596	CSEGs	169270	ENSG00000172748
ZNF597	CSEGs	146434	ENSG00000167981
ZNF613	CSEGs	79898	
ZNF621	CSEGs	285268	ENSG00000172888
ZNF627	CSEGs	199692	
ZNF655	CSEGs	79027	ENSG00000197343
ZNF665	CSEGs	79788	
ZNF670	CSEGs	93474	ENSG00000277462
ZNF684	CSEGs	127396	ENSG00000117010
ZNF701	CSEGs	55762	
ZNF705A	CSEGs	440077	ENSG00000196946
ZNF706	CSEGs	51123	ENSG00000120963
ZNF714	CSEGs	148206	ENSG00000160352
ZNF728	CSEGs	388523	ENSG00000269067
ZNF729	CSEGs	100287226	ENSG00000196350
ZNF732	CSEGs	654254	ENSG00000186777
ZNF747	CSEGs	65988	ENSG00000169955
ZNF75D	CSEGs	7626	ENSG00000186376
ZNF775	CSEGs	285971	ENSG00000196456
ZNF780B	CSEGs	163131	ENSG00000128000
ZNF781	CSEGs	163115	ENSG00000196381
ZNF785	CSEGs	146540	ENSG00000197162
ZNF813	CSEGs	126017	ENSG00000198346
ZNF829	CSEGs	374899	ENSG00000185869
ZNF839	CSEGs	55778	ENSG00000022976
ZNF880	CSEGs	400713	ENSG00000221923
ZNF90	CSEGs	7643	ENSG00000213988
ZNF93	CSEGs	81931	ENSG00000184635
ZNFX1	CSEGs	57169	ENSG00000124201
ZNHIT2	CEGs	741	ENSG00000174276
ZP1	CSEGs	22917	ENSG00000149506
ZSCAN32	CSEGs	54925	ENSG00000140987
ZSCAN4	CSEGs	201516	ENSG00000180532
ZSWIM1	CSEGs	90204	ENSG00000168612
ZSWIM4	CSEGs	65249	ENSG00000132003
ZW10	CSEGs	9183	ENSG00000086827
ADSSL1	CSEGs	122622	ENSG00000185100
BRE	CSEGs	9577	ENSG00000158019
C11orf31	CSEGs	280636	ENSG00000211450
C11orf70	CSEGs	85016	ENSG00000137691
C14orf159	CSEGs	80017	ENSG00000133943
C6orf106	CSEGs	64771	ENSG00000196821
CARS	CEGs	833	ENSG00000278191; ENSG00000110619
CD97	CSEGs	976	ENSG00000123146
CIRH1A	CEGs	84916	ENSG00000262788; ENSG00000141076
COL4A3BP	CSEGs	10087	ENSG00000113163
CPSF3L	CEGs	54973	ENSG00000127054
CXorf23	CSEGs	256643	ENSG00000173681
DARS	CEGs	1615	ENSG00000115866
DFNA5	CSEGs	1687	ENSG00000105928
DSCR3	CSEGs	10311	ENSG00000157538
FAM19A4	CSEGs	151647	ENSG00000163377
FAM21B	CSEGs	387680	ENSG00000099290
GARS	CEGs	2617	ENSG00000106105
GNB2L1	CEGs	10399	ENSG00000204628
GRAMD3	CSEGs	65983	ENSG00000155324
IARS	CEGs	3376	ENSG00000196305
IL8	CSEGs	3576	ENSG00000169429
KARS	CEGs	3735	ENSG00000065427
LARS	CEGs	51520	ENSG00000133706
MARCH10	CSEGs	162333	ENSG00000173838
MARCH2	CSEGs	51257	ENSG00000099785
MARS	CEGs	4141	ENSG00000166986
MUM1	CSEGs	84939; 3662	ENSG00000160953; ENSG00000137265
MUT	CSEGs	4594	ENSG00000146085
NARS	CEGs	4677	ENSG00000134440
NGFRAP1	CSEGs	27018	ENSG00000166681
NHP2L1	CEGs	4809	ENSG00000100138
ORAOV1	CEGs	220064	ENSG00000149716
PQLC2	CSEGs	54896	ENSG00000040487
PRSS45	CSEGs	377047	ENSG00000188086
PTPN20A	CSEGs	26095	ENSG00000204179
QARS	CEGs	5859	ENSG00000172053
RARS	CEGs	5917	ENSG00000113643
RTFDC1	CEGs	51507	ENSG00000022277
SARS	CEGs	6301	ENSG00000031698
SEPT2	CSEGs	4735; 23157	ENSG00000168385; ENSG00000125354
SEPT6	CSEGs	23157	ENSG00000125354
SEPW1	CSEGs	6415	ENSG00000178980
TARS	CEGs	6897	ENSG00000113407
TCEB1	CEGs	6921	ENSG00000154582
UFD1L	CEGs	7353	ENSG00000070010
VARS	CEGs	7407	ENSG00000231945; ENSG00000204394; ENSG00000226589; ENSG00000224264; ENSG00000096171; ENSG00000227686; ENSG00000231116
WARS	CEGs	7453	ENSG00000140105
WBSCR22	CEGs	114049	ENSG00000071462
YARS	CEGs	8565	ENSG00000134684
