lncRNA_ID,Score
lNONMMUG009173,7.356926788102998e-06
lNONMMUG039437,0.0008356030516634426
lNONMMUG041948,0.0025495788534357937
lNONMMUG034060,0.009760420711140335
lNONMMUG010099,0.010234816019312178
lNONMMUG009235,0.012173550448224227
lNONMMUG043393,0.014502363584848712
lNONMMUG002771,0.015069606463113344
lNONMMUG043843,0.019265681222181447
lNONMMUG044302,0.028758075404158888
lGm13291,0.03249261635299179
lNONMMUG021010,0.03345075911471616
lNONMMUG035589,0.03390939285052118
lNONMMUG031860,0.03443438111545946
lNONMMUG023106,0.040173541686268154
lNONMMUG008199,0.043863985021900996
lNONMMUG036495,0.04632654613185443
lNONMMUG020560,0.04713370282154666
lNONMMUG038170,0.048439265375765136
lSnord67,0.04844710938299046
lNONMMUG039825,0.048791212881633766
lNONMMUG007120,0.05287174491026529
lNONMMUG033434,0.05302993419058936
lNONMMUG013851,0.05528470066125011
lNONMMUG036314,0.05780221813949739
lNONMMUG014034,0.05780832992034469
lNONMMUG045259,0.05812733565894939
lENSMUSG00000107766,0.0588108520868582
lNONMMUG032531,0.05889796824356729
lNONMMUG031524,0.059230854972113646
lNONMMUG042190,0.06015482981580824
lNONMMUG025805,0.06022779053161513
lNONMMUG038718,0.06188829564318424
lNONMMUG019692,0.06259548166864111
lENSMUSG00000106828,0.06264155645631425
lENSMUSG00000103692,0.0633537446984041
lNONMMUG029789,0.0634989021388208
lNONMMUG017321,0.06387927412933267
lNONMMUG038692,0.06396407901356913
lENSMUSG00000085908,0.066900761426243
lNONMMUG024809,0.066900761426243
lSnord11,0.06705643832566496
lNONMMUG017372,0.06814575878746093
lNONMMUG012984,0.06933554452014451
lNONMMUG004366,0.06974450598411533
lNONMMUG003224,0.0704209948260968
lNONMMUG034169,0.07093367696813295
lENSMUSG00000085029,0.07152067843916263
lNONMMUG023178,0.07152067843916263
lNONMMUG009391,0.07232603064376389
lNONMMUG003997,0.07248633471284327
lNONMMUG035658,0.07271994043516751
lNONMMUG007163,0.0733367082335624
lENSMUSG00000085182,0.07337245789928899
lNONMMUG013706,0.07346014567888304
lENSMUSG00000100135,0.07369118037543773
lNONMMUG009329,0.074033215781361
lNONMMUG001447,0.07484663960067853
lNONMMUG014441,0.07618061978267951
lENSMUSG00000100793,0.07702647993556148
lNONMMUG035412,0.07747147595183212
lNONMMUG017090,0.07965331554171431
lNONMMUG000955,0.07975752125711484
lNONMMUG025351,0.079805880627262
lNONMMUG018370,0.07997936362562269
lGm16224,0.08016889039673063
l4930511O05Rik,0.08024973880196076
lNONMMUG010034,0.080302039382274
lNONMMUG030175,0.08049397216565086
lNONMMUG044056,0.08076865510668177
lNONMMUG023934,0.08089922915846962
lGm2350,0.08120544762626136
lNONMMUG038449,0.08171250741022186
lNONMMUG020754,0.0819097343914315
lNONMMUG028570,0.08233887813910197
lNONMMUG041077,0.08286105933467607
lNONMMUG005502,0.08303305029126175
lENSMUSG00000098045,0.08345240610609952
lNONMMUG035581,0.08375989750130053
lNONMMUG028706,0.08414048064837787
lNONMMUG033288,0.0845464005263072
lNONMMUG000030,0.08502027988743507
lA230098N10Rik,0.08543324230056296
lENSMUSG00000105439,0.08543324230056296
lENSMUSG00000086478,0.0858653726565593
lENSMUSG00000085695,0.08658756557220121
lNONMMUG046240,0.08658756557220121
