Recall,Precision
0.9993943064809206,0.5178095088655265
0.9993943064809206,0.5178907721280602
0.9993943064809206,0.5179720609009575
0.9993943064809206,0.5180533751962323
0.9993943064809206,0.5181347150259067
0.9993943064809206,0.5182160804020101
0.9993943064809206,0.5182974713365792
0.9993943064809206,0.5183788878416589
0.9993943064809206,0.5184603299293009
0.9993943064809206,0.518541797611565
0.9993943064809206,0.5186232909005186
0.9993943064809206,0.5187048098082364
0.9993943064809206,0.5187863543468009
0.9993943064809206,0.5188679245283019
0.9993943064809206,0.5189495203648372
0.9993943064809206,0.5190311418685121
0.9993943064809206,0.5191127890514393
0.9993943064809206,0.5191944619257395
0.9993943064809206,0.5192761605035405
0.9993943064809206,0.5193578847969783
0.9993943064809206,0.5194396348181961
0.9993943064809206,0.5195214105793451
0.9993943064809206,0.5196032120925839
0.9993943064809206,0.5196850393700787
0.9993943064809206,0.5197668924240038
0.9993943064809206,0.5198487712665406
0.9993943064809206,0.5199306759098787
0.9993943064809206,0.5200126063662149
0.9993943064809206,0.5200945626477541
0.9993943064809206,0.5201765447667087
0.9993943064809206,0.5202585527352988
0.9993943064809206,0.5203405865657521
0.9993943064809206,0.5204226462703043
0.9993943064809206,0.5205047318611987
0.9993943064809206,0.5205868433506863
0.9993943064809206,0.5206689807510255
0.9993943064809206,0.5207511440744832
0.9993943064809206,0.5208333333333334
0.9993943064809206,0.5209155485398579
0.999091459721381,0.5208399115882538
0.999091459721381,0.5209221537975683
0.999091459721381,0.5210044219835754
0.999091459721381,0.5210867161585847
0.999091459721381,0.5211690363349131
0.999091459721381,0.5212513825248855
0.999091459721381,0.5213337547408344
0.999091459721381,0.5214161529951004
0.999091459721381,0.5214985773000316
0.999091459721381,0.5215810276679842
0.999091459721381,0.5216635041113219
0.999091459721381,0.5217460066424165
0.9987886129618413,0.5216703574818096
0.9987886129618413,0.5217528872013922
0.9987886129618413,0.5218354430379747
0.9987886129618413,0.5219180250039563
0.9987886129618413,0.5220006331117443
0.9987886129618413,0.5220832673737533
0.9987886129618413,0.5221659278024066
0.9987886129618413,0.5222486144101346
0.9987886129618413,0.522331327209376
0.9987886129618413,0.5224140662125772
0.9987886129618413,0.5224968314321926
0.9987886129618413,0.5225796228806845
0.9987886129618413,0.522662440570523
0.9987886129618413,0.5227452845141861
0.9987886129618413,0.5228281547241598
0.9987886129618413,0.522911051212938
0.9987886129618413,0.5229939739930225
0.9987886129618413,0.5230769230769231
0.9987886129618413,0.5231598984771574
0.9987886129618413,0.523242900206251
0.9987886129618413,0.5233259282767375
0.9987886129618413,0.5234089827011585
0.9987886129618413,0.5234920634920635
0.9987886129618413,0.5235751706620099
0.9987886129618413,0.5236583042235631
0.9987886129618413,0.5237414641892965
0.9987886129618413,0.5238246505717916
0.9987886129618413,0.5239078633836378
0.9987886129618413,0.5239911026374324
0.9987886129618413,0.524074368345781
0.9987886129618413,0.5241576605212969
0.9987886129618413,0.5242409791766015
0.9987886129618413,0.5243243243243243
0.9987886129618413,0.5244076959771029
0.9987886129618413,0.5244910941475827
0.9987886129618413,0.5245745188484173
0.9987886129618413,0.5246579700922686
0.9987886129618413,0.5247414478918059
0.9987886129618413,0.5248249522597072
0.9987886129618413,0.5249084832086582
0.9987886129618413,0.5249920407513531
0.9987886129618413,0.5250756249004935
0.9984857662023017,0.525
0.9984857662023017,0.5250836120401338
0.9984857662023017,0.5251672507167888
0.9984857662023017,0.5252509160426956
0.9984857662023017,0.5253346080305927
0.9984857662023017,0.5254183266932271
0.9984857662023017,0.5255020720433535
0.9984857662023017,0.5255858440937351
0.9984857662023017,0.5256696428571429
0.9984857662023017,0.5257534683463563
0.9984857662023017,0.5258373205741627
0.9984857662023017,0.5259211995533578
0.9984857662023017,0.5260051052967454
0.9984857662023017,0.5260890378171373
0.9984857662023017,0.526172997127354
0.9984857662023017,0.5262569832402234
0.9984857662023017,0.5263409961685823
0.9984857662023017,0.5264250359252755
0.9984857662023017,0.5265091025231555
0.9984857662023017,0.5265931959750838
0.9984857662023017,0.5266773162939297
0.9984857662023017,0.5267614634925707
0.9984857662023017,0.5268456375838926
0.9984857662023017,0.5269298385807896
0.9984857662023017,0.5270140664961637
0.9984857662023017,0.5270983213429257
0.9984857662023017,0.5271826031339942
0.9984857662023017,0.5272669118822965
0.9984857662023017,0.5273512476007678
0.9984857662023017,0.5274356103023516
0.9984857662023017,0.52752
0.9984857662023017,0.527604416706673
0.9984857662023017,0.5276888604353394
0.9984857662023017,0.5277733311989755
0.9984857662023017,0.5278578290105668
0.9984857662023017,0.5279423538831065
0.9984857662023017,0.5280269058295964
0.9984857662023017,0.5281114848630466
0.9984857662023017,0.5281960909964755
0.9981829194427619,0.5281204935106554
0.9981829194427619,0.5282051282051282
0.9981829194427619,0.5282897900304536
0.9978800726832223,0.5282141712087207
0.9978800726832223,0.528298861632195
0.9978800726832223,0.528383579217447
0.9978800726832223,0.5284683239775461
0.9978800726832223,0.5285530959255694
0.9978800726832223,0.5286378950746029
0.9978800726832223,0.5287227214377407
0.9978800726832223,0.5288075750280854
0.9978800726832223,0.528892455858748
0.9978800726832223,0.528977363942848
0.9978800726832223,0.5290622992935131
0.9978800726832223,0.5291472619238798
0.9978800726832223,0.5292322518470929
0.9978800726832223,0.5293172690763053
0.9978800726832223,0.5294023136246787
0.9978800726832223,0.5294873855053832
0.9978800726832223,0.5295724847315976
0.9978800726832223,0.5296576113165086
0.9978800726832223,0.5297427652733119
0.9978800726832223,0.5298279466152115
0.9978800726832223,0.5299131553554197
0.9978800726832223,0.5299983915071578
0.9978800726832223,0.5300836550836551
0.9978800726832223,0.5301689460981497
0.9978800726832223,0.530254264563888
0.9978800726832223,0.5303396104941253
0.9978800726832223,0.5304249839021249
0.9978800726832223,0.5305103848011592
0.9978800726832223,0.5305958132045089
0.9978800726832223,0.530681269125463
0.9978800726832223,0.5307667525773195
0.9978800726832223,0.5308522635733849
0.9978800726832223,0.530937802126974
0.9978800726832223,0.5310233682514102
