layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
16,32,0.7949727437916414,0.8307086614173228,0.8244346733668342,0.8094357076780758,0.8128407026044822,0.6260813033053035,0.8935601865286571,0.8863846230953151
16,64,0.8058752271350696,0.8519079345851,0.8447619047619047,0.8248605083694979,0.8288915808600847,0.6584811958721605,0.8991076384519632,0.890494636826736
16,128,0.8070866141732284,0.8449424591156874,0.8388416745357256,0.8226578175644389,0.8260145366444579,0.6524967760560915,0.8999181341557949,0.8975396227234969
16,256,0.7986069049061175,0.822228952150212,0.8179280397022333,0.8081520073551947,0.8104179285281647,0.6210091431306156,0.8851237672889547,0.8813502286975274
32,32,0.8385826771653543,0.8310115081768625,0.8322813345356177,0.8354201236988987,0.8347970926711085,0.6696133776071086,0.9038967811663434,0.8973279745119698
32,64,0.8204118715929739,0.8625075711689885,0.856465380967436,0.8380510440835266,0.8414597213809812,0.6835253311183729,0.9147866076797242,0.9082675634771107
32,128,0.8228346456692913,0.8304058146577832,0.8291119926762283,0.8259613923088615,0.8266202301635373,0.6532591838527966,0.8999499596632329,0.8940031805090295
32,256,0.8170805572380375,0.857359176256814,0.8513726727674346,0.8338742080049453,0.8372198667474258,0.6749874945213142,0.9089541019318725,0.9006034911477772
64,32,0.8140520896426409,0.8040581465778316,0.8059970014992504,0.8100045201145096,0.8090551181102362,0.6181411066175804,0.8872214075789099,0.8793304021455274
64,64,0.8228346456692913,0.8479709267110842,0.8440509474992234,0.8333077748811532,0.8354027861901878,0.6710175912787107,0.9114193405901604,0.9038213551987834
64,128,0.8140520896426409,0.8661417322834646,0.8587859424920128,0.8358208955223881,0.8400969109630527,0.6811184995168097,0.9132555898247892,0.905680499788101
64,256,0.8452453058752272,0.8670502725620836,0.8640866873065015,0.8545621555419474,0.8561477892186553,0.712464971651106,0.9213068929096438,0.9140940311806605
