samples_num_1,samples_num_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
5,10,0.8358570563294972,0.8585705632949727,0.8552835450883173,0.8454587226221473,0.847213809812235,0.6946068177486903,0.9169275379970878,0.9093525224472978
5,15,0.8455481526347668,0.8513022410660206,0.8504416692049954,0.8479878511769171,0.8484251968503937,0.6968619301830521,0.9168306857323775,0.910485545084583
5,20,0.8503937007874016,0.8603876438522108,0.8589782808198225,0.8546644346370416,0.8553906723198061,0.7108168433275165,0.9186230029264794,0.9101504158427223
5,25,0.8603876438522108,0.8234403391883707,0.829731308411215,0.8447814451382694,0.8419139915202908,0.6842952093798431,0.9168220644133596,0.90671419437479
10,10,0.8304058146577832,0.8628104179285282,0.8582159624413146,0.8440818839464368,0.8466081162931557,0.6935804782046944,0.9174640775317054,0.9088846693083731
10,15,0.8452453058752272,0.8670502725620836,0.8640866873065015,0.8545621555419474,0.8561477892186553,0.712464971651106,0.9213068929096438,0.9140940311806605
10,20,0.856450635978195,0.8482737734706238,0.849504355662361,0.8529633539435982,0.8523622047244095,0.7047479699480096,0.9210780610910332,0.913775830067602
10,25,0.8346456692913385,0.8649303452453059,0.8607120549656465,0.8474784747847478,0.8497880072683223,0.699897047510447,0.9198150378549279,0.9119447738078826
15,10,0.8301029678982434,0.853725015142338,0.8501861042183623,0.840024517315354,0.8419139915202908,0.6840188513116732,0.9128115001792133,0.9068718065622766
15,15,0.8328285887341006,0.8652331920048455,0.8607198748043818,0.8465445590272433,0.8490308903694731,0.6984285724166974,0.9218152755832139,0.9147561944872081
15,20,0.8497880072683223,0.8385826771653543,0.8403713686732555,0.8450534558048487,0.8441853422168383,0.6884139042165837,0.9154092686883598,0.9060528267273049
15,25,0.8352513628104179,0.8676559660811629,0.8632237871674492,0.8490072341080498,0.8514536644457904,0.7032766666287006,0.9226666766943001,0.9173039293960055
20,10,0.8379769836462749,0.8688673531193216,0.8646875,0.8511227314672408,0.8534221683827983,0.707181819016076,0.919058929833836,0.910812029525084
20,15,0.8328285887341006,0.8740157480314961,0.868603916614024,0.8503401360544217,0.8534221683827983,0.7074446396679797,0.921714754672113,0.915298717095367
20,20,0.8591762568140521,0.8649303452453059,0.8641486445324399,0.8616552771450265,0.862053301029679,0.724118589773002,0.9265753442749489,0.9194902910765284
20,25,0.8497880072683223,0.8622047244094488,0.8604722477767556,0.855096754532988,0.8559963658388855,0.71204762371657,0.924112398520655,0.9175647268401753
