HSALNG0071023	NONHSAG052155
HSALNG0071146	NONHSAG052204
HSALNG0071195	NONHSAG052234
HSALNG0072707	NONHSAG102135
HSALNG0072707	ENSG00000273381
HSALNG0072889	NONHSAG101507
HSALNG0073049	NONHSAG052959
HSALNG0073741	NONHSAG053205
HSALNG0074752	NONHSAG103172
HSALNG0074982	NONHSAG053685
HSALNG0075159	NONHSAG053761
HSALNG0150752	ENSG00000272679
HSALNG0150752	RP11-216L13.18
HSALNG0075449	NONHSAG053878
HSALNG0076282	NONHSAG005269
HSALNG0076974	NONHSAG005501
HSALNG0077015	NONHSAG005523
HSALNG0077015	ENSG00000259994
HSALNG0077379	NONHSAG005639
HSALNG0142765	ENSG00000254929
HSALNG0077931	NONHSAG005891
HSALNG0142811	ENSG00000288559
HSALNG0078859	ENSG00000272140
HSALNG0078859	RP11-574K11.29
HSALNG0078963	NONHSAG061362
HSALNG0081372	NONHSAG007119
HSALNG0081790	NONHSAG007220
HSALNG0081949	NONHSAG007295
HSALNG0082135	NONHSAG007384
HSALNG0082585	NONHSAG007602
HSALNG0082607	NONHSAG007619
HSALNG0082649	NONHSAG007641
HSALNG0082800	NONHSAG007715
HSALNG0082923	NONHSAG007760
HSALNG0084161	NONHSAG008298
HSALNG0143181	NONHSAG008354
HSALNG0143181	ENSG00000255301
HSALNG0084672	NONHSAG008552
HSALNG0085333	NONHSAG008887
HSALNG0085729	NONHSAG009075
HSALNG0086140	NONHSAG062987
HSALNG0086485	NONHSAG009374
HSALNG0088026	NONHSAG009993
HSALNG0088467	NONHSAG010134
HSALNG0088467	ENSG00000261799
HSALNG0088600	NONHSAG010200
HSALNG0088626	NONHSAG010207
HSALNG0088626	ENSG00000250899
HSALNG0088662	ENSG00000280202
HSALNG0088662	AC005831.1
HSALNG0088972	NONHSAG010366
HSALNG0089135	NONHSAG010438
HSALNG0089165	NONHSAG010456
HSALNG0090194	ENSG00000275097
HSALNG0143622	NONHSAG010965
HSALNG0091107	NONHSAG011168
HSALNG0091341	NONHSAG011278
HSALNG0091361	NONHSAG011286
HSALNG0091361	ENSG00000258344
HSALNG0091509	NONHSAG011364
HSALNG0093261	NONHSAG011975
HSALNG0093383	NONHSAG012025
HSALNG0093615	NONHSAG012123
HSALNG0093615	ENSG00000257681
HSALNG0094716	NONHSAG012604
HSALNG0094871	NONHSAG012658
HSALNG0095322	ENSG00000280311
HSALNG0096271	NONHSAG013199
HSALNG0096487	ENSG00000273507
HSALNG0097249	NONHSAG013570
HSALNG0098601	NONHSAG068402
HSALNG0099739	NONHSAG014339
HSALNG0100096	NONHSAG014524
HSALNG0100373	NONHSAG014629
HSALNG0100394	NONHSAG014644
HSALNG0100684	NONHSAG068714
HSALNG0100762	NONHSAG014774
HSALNG0102001	NONHSAG015257
HSALNG0102001	ENSG00000258561
HSALNG0102001	RP11-72M17.1
HSALNG0103711	NONHSAG015889
HSALNG0103959	NONHSAG015995
HSALNG0104151	NONHSAG016076
HSALNG0104372	NONHSAG016202
HSALNG0104483	NONHSAG016264
HSALNG0104546	ENSG00000224078
HSALNG0104684	NONHSAG016367
HSALNG0104765	NONHSAG016410
HSALNG0104776	NONHSAG016418
HSALNG0104812	NONHSAG016431
HSALNG0104961	NONHSAG016491
HSALNG0104967	NONHSAG016492
HSALNG0105141	NONHSAG071061
HSALNG0105564	NONHSAG016741
HSALNG0105596	NONHSAG016754
HSALNG0105618	NONHSAG016769
HSALNG0105618	ENSG00000259519
HSALNG0106282	NONHSAG017045
HSALNG0106282	ENSG00000259732
HSALNG0106429	NONHSAG017110
HSALNG0106430	NONHSAG017111
HSALNG0107508	NONHSAG017579
HSALNG0107626	ENSG00000259546
HSALNG0144423	ENSG00000278202
HSALNG0144423	RP11-152F13.8
HSALNG0107933	NONHSAG071305
HSALNG0144829	Z84812.4
HSALNG0108703	NONHSAG018160
HSALNG0108703	ENSG00000268836
HSALNG0109131	NONHSAG018395
HSALNG0109791	NONHSAG018698
HSALNG0144703	ENSG00000261427
HSALNG0110153	NONHSAG018853
HSALNG0110201	NONHSAG018872
HSALNG0110246	NONHSAG018893
HSALNG0110443	NONHSAG018962
HSALNG0144730	NONHSAG018995
HSALNG0110524	NONHSAG018997
HSALNG0110644	ENSG00000280607
HSALNG0110712	NONHSAG019088
HSALNG0110985	ENSG00000260141
HSALNG0111049	NONHSAG019270
HSALNG0112043	NONHSAG019666
HSALNG0112089	NONHSAG019677
HSALNG0112137	NONHSAG019705
HSALNG0112137	ENSG00000265408
HSALNG0112213	NONHSAG019747
HSALNG0112256	NONHSAG019779
HSALNG0112256	ENSG00000261864
HSALNG0112584	NONHSAG019940
HSALNG0112672	NONHSAG019967
HSALNG0144821	NONHSAG020300
HSALNG0144821	ENSG00000260121
HSALNG0113657	NONHSAG020367
HSALNG0113669	NONHSAG020372
HSALNG0113669	ENSG00000267048
HSALNG0113691	NONHSAG020390
HSALNG0113911	NONHSAG020506
HSALNG0114229	NONHSAG020672
HSALNG0114404	NONHSAG020759
HSALNG0115274	ENSG00000212719
HSALNG0115571	NONHSAG021359
HSALNG0115571	ENSG00000266111
HSALNG0115650	NONHSAG021406
HSALNG0115657	NONHSAG021411
HSALNG0115658	ENSG00000280069
HSALNG0116399	TMEM99
HSALNG0116559	NONHSAG021846
HSALNG0116559	ENSG00000267765
HSALNG0116559	CTD-3193K9.3
HSALNG0116699	NONHSAG021905
HSALNG0116712	NONHSAG021914
