FPR,TPR
0.0,0.0
0.0,0.022727272727272728
0.0,0.5681818181818182
0.045454545454545456,0.5681818181818182
0.045454545454545456,0.75
0.06818181818181818,0.75
0.06818181818181818,0.7954545454545454
0.11363636363636363,0.7954545454545454
0.11363636363636363,0.8409090909090909
0.1590909090909091,0.8409090909090909
0.1590909090909091,0.9318181818181818
0.20454545454545456,0.9318181818181818
0.20454545454545456,0.9545454545454546
0.36363636363636365,0.9545454545454546
0.36363636363636365,0.9772727272727273
0.7272727272727273,0.9772727272727273
0.7272727272727273,1.0
1.0,1.0
