FPR,TPR
0.0,0.0
0.0,0.022727272727272728
0.0,0.4090909090909091
0.022727272727272728,0.4090909090909091
0.022727272727272728,0.6818181818181818
0.045454545454545456,0.6818181818181818
0.045454545454545456,0.7954545454545454
0.09090909090909091,0.7954545454545454
0.09090909090909091,0.8181818181818182
0.11363636363636363,0.8181818181818182
0.11363636363636363,0.8636363636363636
0.1590909090909091,0.8636363636363636
0.1590909090909091,0.8863636363636364
0.22727272727272727,0.8863636363636364
0.22727272727272727,0.9090909090909091
0.2727272727272727,0.9090909090909091
0.2727272727272727,0.9318181818181818
0.38636363636363635,0.9318181818181818
0.38636363636363635,0.9772727272727273
0.45454545454545453,0.9772727272727273
0.45454545454545453,1.0
1.0,1.0
