Tceb1,Eloc
A430105I19Rik,Ccdc9b
Ccdc173,Cfap210
Ccdc151,Odad3
Wrb,Get1
Iars,Iars1
Prrxl1,Drgx
Ccdc36,Iho1
Fam208b,Tasor2
Fam179b,Togaram1
Zak,Map3k20
2810417H13Rik,Pclaf
Rnf219,Obi1
Rfwd2,Cop1
1110034G24Rik,Shld1
Mb21d1,Cgas
Tcte3,Dynlt2a2
Lnp,Nusap1
D10Jhu81e,Gatd3a
Phb,Phb1
Gbas,Nipsnap2
2410015M20Rik,Micos13
Ccdc58,Mix23
Sqrdl,Sqor
Adck3,Coq8a
2010107E04Rik,Atp5mj
Wbscr16,Rcc1l
Gyk,Gk
Fam213a,Prxl2a
Prosc,Plpbp
Marc2,Mtarc2
Lyrm5,Etfrf1
Apoa1bp,Naxe
Ccbl2,Kyat3
1110001J03Rik,Fmc1
Minos1,Micos10
2810006K23Rik,Mtrfr
March7,Marchf7
Mkl1,Mrtfa
Ankrd32,Slf1
2210018M11Rik,Emsy
2810474O19Rik,Resf1
Elmsan1,Mideas
Gltscr1,Bicra
4732456N10Rik,Krt90
Glt25d1,Colgalt1
Loh12cr1,Borcs5
Fam188b,Mindy4
Dyx1c1,Dnaaf4
Cd3eap,Polr1g
Hist2h2bb,H2bc18
Hist1h4c,H4c3
Hist2h2ab,H2ac21
Hist3h2a,H2ac25
Setd8,Kmt5a
1700019N19Rik,Spmip5
1700021F07Rik,Cimip1
2610301B20Rik,Cfap418
5430435G22Rik,Rab7b
Hist1h1b,H1f5
Ccdc101,Sgf29
Fam129a,Niban1
Gltscr2,Nop53
Papd4,Tent2
Whsc1l1,Nsd3
Figf,Vegfd
Ngfrap1,Bex3
Myo15,Myo15a
2210010C04Rik,Prss3b
Epb4.1l5,Epb41l5
Cirh1a,Utp4
2610020H08Rik,Rexo5
1700007B14Rik,Iqcm
E030002O03Rik,Olfm5
Gm13125,Pramel15
Gm15800,Hectd4
9130011E15Rik,Armh3
H2afj,H2aj
Asun,Ints13
Mettl7b,Tmt1b
Vwa9,Ints14
Vars,Vars1
Akap2,Pakap
D19Bwg1357e,Pum3
2410016O06Rik,Riox1
Ptplb,Hacd2
Ikbkap,Elp1
C330027C09Rik,Cip2a
Fam129b,Niban2
Hist1h2bm,H2bc14
Myeov2,Cops9
Hiatl1,Mfsd14b
H2afv,H2az2
Kirrel,Kirrel1
Hist1h4d,H4c4
Gpr123,Adgra1
Ppap2b,Plpp3
Bai3,Adgrb3
Lrrc16a,Carmil1
Fam175a,Abraxas1
Fam104a,Vcf1
Sssca1,Znrd2
2210011C24Rik,Misp3
ND1,Ivns1abp
Soga1,Mtcl2
Soga3,Mtcl3
Pak7,Pak5
Amica1,Jaml
Fam160b2,Fhip2b
Igj,Jchain
1700074P13Rik,Prss59
Gramd3,Gramd2b
Fam46a,Tent5a
Olfr608,Or52ae7
Vimp,Selenos
Sep15,Selenof
Fam49a,Cyria
Gm561,Smim26
Hist1h2ba,H2bc1
Aaed1,Prxl2c
Spata5,Afg2a
Gm1564,Meioc
Irgc1,Irgc
4930550L24Rik,Magea13
Mfsd7c,Flvcr2
Lrmp,Irag2
Epb4.2,Epb42
Cd97,Adgre5
Hmha1,Arhgap45
Emr1,Adgre1
Col4a3bp,Cert1
Rp2h,Rp2
Papd5,Tent4b
Impad1,Bpnt2
2310003H01Rik,Faap100
C230052I12Rik,Faap24
2610002J02Rik,Faap20
Mtss1l,Mtss2
Fam115a,Tcaf1
Irg1,Acod1
Gm340,Lcor
Hist1h1t,H1f6
Rtfdc1,Rtf2
4931429I11Rik,Jhy
2610507B11Rik,Bltp2
9330182L06Rik,Elapor2
Kdelc2,Poglut3
4930427A07Rik,Tedc1
